()||<BIN>2</BIN><BGM>BGM_Empty</BGM><Night><SE1>Battlefield</SE1>:...전투가 마무리되었다.
HunterElite(0)<Speaker>헌터</Speaker>||:움직일 수가... 없어...+우로보로스...! 약속한 지원 병력은 어찌 된 거지...?! 이대론 초소를 잃게 된다!
Weaver(0)<Speaker>우로보로스</Speaker><通讯框>;HunterElite(0)||:헌터... 너도 알다시피, 저들의 목표는 바로 너다.+그럼 재머를 보호하는 가장 좋은 방법은, 뭐... 말할 필요도 없겠지?
Weaver(0);HunterElite(0)<Speaker>헌터</Speaker>||<BGM>BGM_Boss</BGM>:우로보로스...!+네년... 설마 처음부터 날 버릴 셈이었냐!
Weaver(0)<Speaker>우로보로스</Speaker>;HunterElite(0)||:...내가 어떻게 태어났는지 아는가?+수백 개의 AI와 게임 속에서 끝까지 겨루고 유일하게 남은 생존자다.+내가 보기에, 장기 말로서의 네 역할은...버림패다.
Weaver(0);HunterElite(0)<Speaker>헌터</Speaker>||:전쟁은 그딴 장기가 아니란 말이다! 너무 단순하게 생각하지 마, 우로보로스! 머지않아 후회하게 될 거다!
Weaver(0)<Speaker>우로보로스</Speaker>;HunterElite(0)||<黑屏1>:아쉽지만 이것이 모든 경우의 수를 고려한 끝에 얻어낸 나의 최적의 답이다.+...다만, 너희가 보고 싶었던 답은 아니겠지.
우로보로스()<Speaker>우로보로스</Speaker>||<BIN>9</BIN><黑屏2>:2612-1192a2516-31913. 포맷을 시작하라.
()||:본체 재부팅 시작. 마인드 맵 백업 중... 서버 연결 실패. 마인드 맵 백업을 끝내지 못 했습니다. 로컬 데이터 엑세스, 포맷 완료.
우로보로스()<Speaker>우로보로스</Speaker>||:그렇게 잠들려무나, 헌터. 넌 이제 필요 없어.
()||<BGM>BGM_NightOPS</BGM>:10분 후.+헌터가 버려진 위치에 404 소대가 도착하고, 상황을 확인했다.
HK416(0)<Speaker>HK416</Speaker>||<黑屏2><BIN>2</BIN><Night>:부팅실패, 아무런 반응도 없어. 
UMP9(2)<Speaker>UMP9</Speaker>||:다 너 때문이야. 목숨이 걸린 일인데, 다리 놔두고 엄한 데를 쏘면 어떡해?
G11(0)<Speaker>G11</Speaker>||:또 내 탓이래. 지들은 놀기만 하고...
UMP45(2)<Speaker>UMP45</Speaker>||:아니, G11 잘못이 아니야. 적의 두목이 입막음한 것이 분명해.
UMP9(4)<Speaker>UMP9</Speaker>;UMP45(2)||:끄응... 간신히 헌터를 해치웠는데, 결국 아무 정보도 얻은 게 없다니...
UMP9(4);G11(2)<Speaker>G11</Speaker>||:헛고생했네. 그럼 이제 집에 가도 돼?
HK416(0)<Speaker>HK416</Speaker>;G11(2)||<SE1>Battlefield</SE1>:어디든 좋으니까, 빨리 이곳에서 벗어나야 해...+저 소리 들리지? 다른 철혈 부대가 벌써 우릴 찾고 있어.
HK416(0);UMP45(2)<Speaker>UMP45</Speaker>||:어쩌면... 우릴 찾는 게 아닐 수도?
HK416(0)<Speaker>HK416</Speaker>;UMP45(2)||:뭐? 그게 무슨 말이야?
HK416(0);UMP45(2)<Speaker>UMP45</Speaker>||<黑屏1>:잠깐 어디 좀 다녀올게.+416, 철혈 부대를 피하면서, 애들을 데리고 초소 반대편으로 가. 거기서 다시 보자.+어쩌면... 아직 기회가 있을지도 몰라.
