()||<BIN>79</BIN><BGM>BGM_Room</BGM>:.......같은 시각, 군에서 주최하는 연회에서.
NPC-Carter(0)<Speaker>카터</Speaker>||:그럼 이제 본론으로 들어가도록 하지. 
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Carter(0)||:네. 말씀하시지요.
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker>||:이번 PR 작전에 군은 중장갑 부대를 파견할 수 없네.+대신, 예고르 대위에게 특수 훈련을 받은 보병 인형 태스크 포스 3개 중대를 데리고 그리폰과 같이 이동하라고 명령을 내려놨네.+그리고 또한 자네들과 군 정보체계를 공유할 수 있도록 우리 네트워크 채널을 그리폰과 연결해놓았지.
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Carter(0)||:군용 정보를 공유해주시다니 정말로 감사드립니다만, 이전에 철혈이 사용한, "우산"이라 명명된 해킹 프로그램이 지난번 저희 인형 시스템에 침입한 적이 있어서 말입니다.
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker>||:음...... 그 문제에 대해서는 우리도 충분한 대비를 해놓았네.+더 높은 등급의 능동 방어 시스템을 신청했고, 사태가 발생하면 중앙 서버팀이 전자전을 수행할 걸세.+그러니 그런 민간 기업이 만든 바이러스 따위는 그다지 큰 장애물이 되지 않을 걸세.
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Carter(0)||:알겠습니다. 충분한 준비가 되어 있으시다면 큰 문제 없을 것 같습니다.
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker>||:7호 문서를 분석해보면, 우리는 리코가 만든 그 AI의 메인 컴퓨터들의 위치를 대략적으로 특정지을 수 있을 걸세.+"엘리사" 그러니까 엘더 브레인을 제외한 모든 철혈 유닛들을 배제하고 "엘리사"를 데리고 온다. 이것이 우리의 주요 목표일세.+연습 훈련 도중에도 미디어는 주목하고 있겠지. 우리는 우리 나름대로 보도관제를 시행하겠다만, 예고르의 부대는 규모가 워낙 크다 보니 말일세.+그래서, 외곽 지원을 마친 후, "엘리사"를 탈취하는 것은 자네의 인형들에게 맡기도록 하겠네.
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Carter(0)||:알겠습니다. 돌아가면 곧바로 준비 작업에 착수하도록 하겠습니다. 작전의 세부 사항은 여기 있는 이 지휘관이 처리할 겁니다.
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker>||:그래. 지휘관, 자네의 관할 구역이 평화를 되찾을 수 있을지 없을지는 바로 이번 작전에 달려있네. 자세한 건 예고르 대위와 함께 논의할 수 있도록 하게나.+그럼 난 이만...... 음?
NPC-Kyruger(0);NPC-Yegor(0)<Speaker></Speaker>||:............예고르 대위가 카터의 귀에 무언가를 속삭이고 있다.
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker>||<黑屏1>:미안하네. 잠시 처리해야 할 일이 생겨서 말일세. 여기에 앉아서 잠깐만 기다리고 있으면, 내 곧 돌아오도록 함세.
()||<黑屏2>:............카터와 예고르가 자리를 떠났다.
NPC-Kyruger(0)<Speaker>크루거</Speaker>||:평화를 되찾는다, 라...... 정말로 그럴 수만 있다면 좋으련만.
NPC-Kyruger(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:왜 그러나? 벌써부터 이번 작전의 목적에 의심이 들기 시작했나 보지?
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Havel(0)||:보아하니 돌아올 타이밍을 재고 있으셨던 것 같군요.
NPC-Kyruger(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:만나야 할 사람들은 이미 다 만나버려서 말이야. 게다가 아래쪽에 있는 의자는 그다지 편하지도 않고...... 사람도 그렇고 말이지.
NPC-Kyruger(0)<Speaker></Speaker>;NPC-Havel(0)||:............크루거가 입구를 쳐다본다.
NPC-Kyruger(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:괜찮아. 카터 녀석이 오려면 아직 5분 정도는 더 걸릴 테니 너무 그 녀석을 신경 쓰지 않아도 된다네.+너희 그리폰이 지금까지 우리 회사에 줄곧 주문을 넣었지만, 이렇게 둘이서만 얘기한 게 언제적인지 기억도 안 나는구만.
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Havel(0)||:이전에 저희가 조금 그...... 오해가 있었던 것 같습니다.
NPC-Kyruger(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<黑屏1>:그래, 그래. 바로 그것일세. 오해는 오해지. 그러니까, 지금 우리가 대화를 통해서 바로 그 "오해"를 풀어야 하지 않겠나?
()||<BIN>10</BIN><黑点2>:
