()||<BIN>98</BIN><BGM>BGM_Empty</BGM>:......작전 종료.
NPC-Kalin(4)<Speaker>카리나</Speaker>||:드디어… 해치운 건가요?+어서 상대의 유해를 검사해!
NPC-Kalin(4)<Speaker>그리폰 인형 A</Speaker>||:지휘관님! 카리나 씨! 이 사체는 그저 더미입니다!
NPC-Kalin(2)<Speaker>카리나</Speaker>||:뭐라고?! 그렇게 강한 적이, 그저 더미였다니?!+그럼… 진짜 에이전트는 대체 어디에…
()||<BIN>98</BIN><震屏><SE1>Explode</SE1><黑屏1>:...콰앙!
()||<BIN>9</BIN><BGM>BGM_stage10</BGM><黑屏2><火花>:...등 뒤에서 귀청이 날아갈 듯한 폭발 소리가 들렸다!+...비처럼 내리는 불똥과 연기, 그리고 어둠이 회전하며 추락했다.+......+…
카리나()<Speaker>카리나</Speaker>||:지휘관님, 어디 계시나요!+응답해주세요, 지휘관님──!+모두 불을 꺼! 그리고 지휘관님을 찾아!
()||:...+...지하에 떨어졌다, 온 지휘부가 불타고 있다.+...저 멀리 우아하고도 맑은 발소리가 들려온다.
??()<Speaker>??</Speaker>||:인간은 어찌 이렇게 나약한 것이옵니까...+겨우 이 정도 추락으로도 꼼짝도 못 하게 될 줄이야...
()||:...어둠 속에서 그 인형의 목소리가 들리자, 황급히 호신용 권총을 집었다.
()||:......꾸욱!+...가슴이 무언가 무거운 것에 눌려, 호흡이 어려워졌다.
에이전트()<Speaker>에이전트</Speaker>||:송구하옵니다, 제 불찰이옵니다.+다만 귀하의 반응도 너무 놀라운 것이 아니옵니까?
()||:......연기가 흩어지며, 시야가 돌아온다.
에이전트()<Speaker>에이전트</Speaker>||<黑屏1>:제가 아뢰었듯이...+친히 이 손으로 매장해드리리라고...
에이전트()<Speaker>에이전트</Speaker>||<BIN>123</BIN><睁眼>:
()||:......권총을… 찾을 수 없다.
에이전트()<Speaker>에이전트</Speaker>||:인간은 언젠가 죽게 되오며, 저는 항상 이를 기꺼이 도와드렸사옵니다.+2년 전에도, 한 그리폰의 지휘자와 마주한 적이 있습니다.+귀하와 그녀 중 과연 누가 더 낭패할지, 평가하지 못해 송구하오나, 결국 다 덧없을 뿐일지니…
()||:...몸을 움직여보려 했지만, 철혈 인형의 힘은 상상을 훨씬 넘어섰다.
에이전트()<Speaker>에이전트</Speaker>||:이런, 아프셨사옵니까? 다만 이것도 이미 자제한 편입니다, 그저 중력만으로 귀하의 가슴 위에 올려놓기만 하여도, 버티지 못할 것입니다.+그리고 전 좀 더 천천히… 천천히 감상하는 것을 선호합니다…
()||<震屏><BIN>122</BIN>:......가슴의 압박이 점점 무거워지며, 숨이 막혀온다.
에이전트()<Speaker>에이전트</Speaker>||:아아...+이것이 인간, 이것이 죽음...
()||:...숨을...... 쉴 수가 없다.
에이전트()<Speaker>에이전트</Speaker>||:지휘관님...+점점 좋은 표정이 되어가고 있사옵니다.+이것이...... 마지막으로...+귀하가 세상에 남길 흔적이옵니다…
()||:...여기......까지인가?
()||<黑屏1>:......삑.
??()<Speaker>??</Speaker>||<黑屏2><BIN>9</BIN>:어이 멈춰! 에이전트!+일단 이야기를 해보자고!
BOSS-8(0)<Speaker>에이전트</Speaker>()||:...!+이 목소리는.......
BOSS-8(0);NPC-Ange(0)<Speaker>안젤리아</Speaker><通讯框>||:그리웠나? 너도 참 실패한 모살자로군.
BOSS-8(0)<Speaker>에이전트</Speaker>;NPC-Ange(0)||:......어째서 아직까지 살아있는 것이냐.
BOSS-8(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:그건 중요하지 않아. 중요한 건, 이 지휘관도 살아남아야 한다는 거지!
BOSS-8(0)<Speaker>에이전트</Speaker>;NPC-Ange(0)||:어째서지?
BOSS-8(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:너희들... M4A1을 보고 싶나?
BOSS-8(0)<Speaker>에이전트</Speaker>;NPC-Ange(0)||:......
BOSS-8(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:서로 만나게 해줄 수 있어.
BOSS-8(0)<Speaker>에이전트</Speaker>;NPC-Ange(0)||:너를 믿으라는 것이냐?
BOSS-8(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:나를 믿어야 해!+지금 철혈에서 쓸 수 있는 부대는 이미 다 섬멸됐어, 너의 엘더브레인의 소원을 이루어주고 싶다면, 이 지휘관을 살려줘.+그럼… 만나게 해주지.
BOSS-8(0)<Speaker>에이전트</Speaker>;NPC-Ange(0)||:......+고작 이 인간을 위해서인가?
BOSS-8(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:우린 모두 인간이야, 나도 이러는 이유가 있고.
BOSS-8(0)<Speaker>에이전트</Speaker>;NPC-Ange(0)||:역시 인간은 이해할 수 없느니라, 흥미 또한 손톱만큼도 없지.+나는 그저 종말이 다가오기 전에 휴식을 취하고 싶을 뿐이었지만...+이런 바람조차... 이루지 못할 것 같구나.
BOSS-8(0);NPC-Ange(0)||:
()||<黑屏1><关闭火花>:...후읍──+...갑작스레 가슴이 풀려났다.
()||<黑屏2>:......+...
에이전트()<Speaker>에이전트</Speaker>||<黑屏1>:인형이고 인간이고, 업무가 삶의 이유를 주는 것이지요...+...그렇지 않사옵니까? 그리폰의 지휘관님?
