()||<BIN>9</BIN><BGM>BGM_Room</BGM>:......
M16A1()<Speaker>M16A1</Speaker>||:페르시카!+............+응답 바란다, 페르시카!
페르시카()<Speaker>페르시카</Speaker>||<黑屏1>:아아, 나 왔어.
NPC-Persica(0)<Speaker>페르시카</Speaker>||<BIN>22</BIN><黑屏2>:미안, 방금 M4를 좀 지켜보다 와서.
M16(3)<Speaker>M16A1</Speaker><通讯框>;NPC-Persica(0)||:걔......괜찮은거지?
M16(3);NPC-Persica(0)<Speaker>페르시카</Speaker>||:모든 것이......계획대로 흘러가고 있어. +그보다, 데이터 뱅크에서 네가 뭘 하는지 RO가 보지는 않았겠지......
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:아니, 걔가 나올 때는 이미 다 완료했었어.
M16(3);NPC-Persica(0)<Speaker>페르시카</Speaker>||:그렇구나......지금 기분은 어때?
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:흥, 이제 와서 돌이킬 수 있다는 말은 하지 말지.+하지만 확실히 의문이 있기는 해, 뭐 불안정한 마인드맵이 뱉어낸 추측이라고 치지, 대답해줄 수 있어?
M16(3);NPC-Persica(0)<Speaker>페르시카</Speaker>||:이미 여기까지 왔으니 뭐...물어봐.
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:리코의 죽음에 관해서 이곳의 데이터 베이스를 뒤져봤는데, 378개의 보고서가 하나같이 그의 죽음은 사고였다고 가리키고 있었어.+그러니까, 네 집착을 이해할 수 없다는 말이야......+그가 뭘 했었던지간에 이미 죽은 사람이야, 왜 자꾸 그를 신경쓰는 거지?
M16(3);NPC-Persica(3)<Speaker>페르시카</Speaker>||:그 죽음이 꽤나 수상하기 때문이지. +리코는 이미 죽었지만...사고사는 아닐 거야......+......그러니까 그걸 참을 수 없다는 거야.
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:하, 네가 직감을 믿을 줄은 꿈에도 몰랐는걸. +페르시카, 과학 연구원이 맞기나 한 거야?
M16(3);NPC-Persica(0)<Speaker>페르시카</Speaker>||:나도 너랑 같아, 죽음 속에서 살아돌아온 경험이 있지... M16, 생존은 몸에 배인 테크닉이라고...+어쨌거나 네 목표는 바로 그 물건이야. +네가 안전하게 조사할 수 있도록 지휘관이 철혈의 공세를 억제할 거야.
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:그걸 조사하란 말이지......그 괴상한 신호원을......+언제쯤 눈치챈거야?
M16(3);NPC-Persica(0)<Speaker>페르시카</Speaker>||:RO가 철혈의 메인 네트워크에 접속해서 7호 문서를 찾을 당시......+RO의 마인드맵을 슬쩍 이용해서 네트워크를 여러모로 검사해봤지, 하는 김에 재미있는 파일도 다운받았고.
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:철혈 네트워크 속에 있는 파일들은 전부 감염원일 수 있다고 알려주고 싶기는 하지만......+하하, 지금 말해줘봤자 별 소용 없겠지......
M16(0);NPC-Persica(2)<Speaker>페르시카</Speaker>||:그 정도의 바이러스는 RO 혼자서도 파해할 수 있을 거야, 중요한 건 그게 아니야. +그걸 다운받은 건 그 파일의 암호화 방식 때문이야. 철혈의 것과는 완전히 동떨어져 있었지. +그러니까, 그건 편지란 말이야. 허탕 칠 일이 없는 종류의 초대란거지......그 좌표, 받았어?
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:초대......라고?+지금까지 작전을 뛰어오면서 이만큼 오한이 돋는 초대는 받아본 적이 없는데 말이지.
M16(2);NPC-Persica(2)<Speaker>페르시카</Speaker>||:뭐야, 이제 와서 무서운 거야?
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:내 마인드맵도 붕괴될 수 있겠지......특히 지금은 더.+ ......그저 아쉬운 건......내 마인드맵이 복사가 불가능하단 거야.+이 많은 경험들을......M4에게 줄 수 없다는 게 아쉽지.
M16(2);NPC-Persica(2)<Speaker>페르시카</Speaker>||:넌 무슨 일이든지 그녀를 먼저 챙기는구나.
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:그래......+이 모든건 M4를 보호하기 위해서야......+네가 나에게 내린 유일하며 또한 절대적인 명령이지.
M16(3);NPC-Persica(2)<Speaker>페르시카</Speaker>||:기쁘네, 아직도 기억한다니. +그녀는 곧 깨어날 거야, M16. +충분히 서두른다면 작별인사 정도는 할 수 있을 걸.
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>:됐어, 무슨 말을 할지 고민할 시간조차 없을테니......+역시 서둘러 작전이나 하자고, 그게 내가 지금......유일하게 할 수 있는 일이니까.
