()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:전투 후......
??()<Speaker>??</Speaker>||<BIN>9</BIN>:M4......+............+M4A1......
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏1>:............+여긴...... 어디......
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><黑屏2>:......!+이건......+A......AR......
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:가만히 있어.+널 업고 가는 건 힘드니까.
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><BGM>BGM_Wake</BGM>:............+정말로...... 당신인 건가요?
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN><SE2>AVG_Rain2</SE2>:머리 움직이지 마. 목소리만 들어도 충분하잖아?
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:어째서......+......저는 못 믿겠어요!+AR15...... 당신이...... 살아있었다니 대체?!
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:여기를 벗어난 뒤에, 어떻게 된 일인지 천천히 설명해줄게.
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><SE1>AVG_Rain2</SE1>:하지만 어째서...... 지금 같은 때, 당신이 나타난 건지......
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:내게 주어진 임무를 수행하던 중, 우연히 너를 만나게 된 것뿐이야.+하지만...... 적어도 나쁜 일은 아닌 것 같네.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:스스로 걸을 테니 내려주세요.
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN>:네가 걸을 수 있었으면 내가 널 업으려고 하지도 않았겠지?
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:......?!+몸이...... 움직이질 않아?
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN><SE2>AVG_Rain2</SE2>:옆에 있는 녀석 때문이야......+저 녀석이 연결을 차단하는 도중에 문제가 생겨서, 네 마인드맵 모듈에 손상을 입히는 바람에 잠시 움직이지 못할 거야.
AK12()<Speaker>AK12</Speaker>||<BIN>118</BIN>:내 책임도 어느 정도 있으니까 대신 이 상자를 들어주고 있는 거잖아.+그렇지만 너희들 같은 구식 인형들이 그렇게 정밀한 모듈을 달고 있다니, 너희들한테도 어느 정도 책임이 있는 거 아니야?
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:이건...... 누구 목소리지?
AK12()<Speaker>AK12</Speaker>||<BIN>118</BIN>:나는 거역자의 소대 - 【리벨리온】의 전술 인형 AK12.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:리벨리온......? 거역...? 당신들의 정체가 뭐죠?+AR15, 당신도 그 소대에 있는 건가요?
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN>:새로운 고용주를 받아들이는 것 말고는, 다른 선택지가 없었을 뿐이야.+너도 한 번 봤겠지, 안젤리아라고.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:안젤...... 리아......?+......저를 작전구역으로 들어올 수 있게 도와줬던 그 사람 말인가요?+다른 분들은요?+SOPII...... 그리고 RO 씨는 지금 어떻게 됐죠?
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN><SE1>AVG_Rain2</SE1>:......지금은 다른 애들 걱정하고 있을 때가 아니야. 철혈의 엘리트 인형들이 아직 근처에 있어.+눈앞에 닥친 상황에만 집중해. 입 다물고 나랑 여기에서 벗어나는 거야.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN><黑屏1>:......+SOPII......+RO......
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>0.8</黑屏2><黑屏1>2</黑屏1>:저...... 기억해요......+RO 씨는 분명......
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>:안 돼! 저...... 저는 저 둘을 이대로 두고 갈 수 없어요!+절 놔주세요! 돌아가겠어요!
AR15()<Speaker>AR15</Speaker>||<BIN>9</BIN>:가만히 있어! 여기다 널 놓고 가면, 지금 네 상태로는 열 발자국도 못 가서 철혈한테 잡히고 말 거야.
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏1>:제가 이렇게 된 게, 누구 탓인데요!
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN><黑屏2><SE2>AVG_Rain2</SE2>:널 감시하고 있는 사람과 너 사이의 연결을 끊기 위해, 우리는 어쩔 수 없이 네 레벨 2 플랫폼 연결을 강제로 끊었어야 했어.
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:저를 감시하는 사람이요?+......누가요? 누가 절 감시한다는 거죠?
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:너 정말 우리의 적이 철혈뿐이라고 생각하는 거야?
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:대체...... 대체 이게 어떻게 된 거죠......+그리폰의 임무는...... 철혈을 없애는 게 아니었나요?......+그런데...... 그런데도 저는 팀원들과 타깃을 버려두고......
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN><黑屏1>:뭘 하고 싶든 간에, 우선 휴식부터 취해.+네가 바라는 힘은 나중에 우리가 줄 테니......
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>:............
AR15()<Speaker>AR15</Speaker>||<BIN>9</BIN>:M4?
AK12()<Speaker>AK12</Speaker>||<BIN>9</BIN><黑屏1>:마인드맵에 과부하가 걸리는 바람에 레벨 1 표면 의식을 유지하지 못 한 모양이네.
AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>99</BIN><黑屏2>:정말 엉망진창이네......+AK12, 현장 조사 결과 있어...?
