()||<BIN>41</BIN><SE1>Battlefield</SE1><BGM>BGM_NightOPS</BGM>:............+......3분 후, 철혈의 포격원점. 
마카로프()<Speaker>마카로프</Speaker>||:정말이지......+너희 성조기 녀석들은 항상 영웅주의에 취해있구나? 
RO635()<Speaker>RO635</Speaker>||:하하......+아마 그런 것 같네, 항상 우리는 머리가 냉정한 녀석들은 아니었으니까......
AAT52()<Speaker>AAT52</Speaker>||<SE1>Battlefield</SE1>:앗, RO. 너 이제서야 웃는구나.+AR팀에 간 뒤로 변한 줄 알았지. 
RO635()<Speaker>RO635</Speaker>||:그건......+AR팀의 분위기는 아무래도 좀 다르니까, 무의식적에 영향을 받은 것 아닐까......
마카로프()<Speaker>마카로프</Speaker>||: (한숨을 쉬며) 너희들 AR팀이 도대체 어떻게 지금까지 살아남은 건지......+이렇게 멋대로 굴면, AR-15뿐만이 아니라......너희들.+너희 모두가......정말 죽을 수도 있다고......
RO635()<Speaker>RO635</Speaker>||<SE1>Battlefield</SE1>:지금 살아있잖아? 최소한 지금은, 우린 성공했어. 
마카로프()<Speaker>마카로프</Speaker>||:흥, 간신히 해냈을 뿐이야.+적어도 리더라고 뭘 좀 하기는 했나 보네. 
RO635()<Speaker>RO635</Speaker>||:(한숨을 쉬며) 얼마나 귀찮은 작전이었는지 알기나 하는 거야......+페르시카 씨의 코드가 효과를 본 덕에, 방금 포탄이 발사될 때 추진력이 많이 깎였다고.+모두들 고마워, 스텐, 그리고 AAT. 포대 주변 거점을 포위하는데 도와준 덕이야. 
AAT52()<Speaker>AAT52</Speaker>||:헤헤, 이러면 쥬피터를 대폭 약화시킬 수 있다고요.+철혈의 새 장난감도 무적은 아니네요! 
스텐()<Speaker>스텐</Speaker>||:그런데......마카로프 일행은 어떻게 해야하죠?+다쳐서 움직이기 힘들텐데, 드리머의 제대가 아직 그녀들을 찾고 있을테니......
RO635()<Speaker>RO635</Speaker>||<黑屏1>:(몸을 일으키며) 일단 합류하자고, 그리고 내가 지휘관한테 연락을 할테니.+안심해, 다들 문제 없을테니까. 
RO635(2)<Speaker>RO635</Speaker>||<黑屏2><BIN>10</BIN><BGM>BGM_Empty</BGM>:지휘관님, 여기는 RO635입니다.+철혈 포대를 무력화시키는데 성공했습니다. 지금은 위협이 되지 않습니다. 
RO635(0)<Speaker>RO635</Speaker>||:하지만, 후퇴하는 길에 드리머와 그 제대를 조우할 가능성이 있습니다.+부디 우리를 엄호해 주십시오, 지휘관님, 지휘부에서 다시 만날 수 있기를. 
