()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>356</BIN><narrator>:모스크바의 세이프하우스.
()||<BGM>GF_2022_Summer_AVG_1</BGM>:시멘트 용해액을 몇 통이나 쓰고서야, 매기는 간신히 캐서린을 드럼통에서 꺼낼 수 있었다.
NPC-Scalper(3)<Speaker>캐서린</Speaker>||:으윽... 피부가 까칠까칠해...
NPC-Scalper(3);ColtWalker(1)<Speaker>매기</Speaker>||:팔다리 멀쩡하게 나왔으니까 됐지.
NPC-Scalper(3)<Speaker>캐서린</Speaker>;ColtWalker(1)||:야 이 구두쇠야, 용해액 좀 더 좋은 걸로 사면 어디 덧나냐?
NPC-Scalper(3);ColtWalker(1)<Speaker>매기</Speaker>||:에에, 네가 보낸 돈으로 산 건데, 돈 아끼면 더 좋아할 줄 알았지.
NPC-Scalper(3)<Speaker>캐서린</Speaker>;ColtWalker(1)||:아 맞다, 내 돈! 당장 돌려줘!
NPC-Scalper(3);ColtWalker(1)<Speaker>매기</Speaker>||:헤에, 송금 메시지는 그렇게 감동적으로 써 놓더니...+"잘 있어, 매기..."
NPC-Scalper(3)<Speaker>캐서린</Speaker>||:닥쳐 임마! 그땐 진짜 뒤지는 줄 알았다고!!!
()||<SE1>AVG_va_addingredient</SE1>:캐서린은 소리를 버럭 지르며 매기를 몇 번 때리고는, 바닥에 앉아 자신에게 잔뜩 기름칠을 했다.
()||<SE1>AVG_File_Put</SE1>:그리고 흡족하게 소파에 드러누웠다.
NPC-Scalper(3)<Speaker>캐서린</Speaker>||<BGM>BGM_Empty</BGM>:그래서, 그 의뢰란 게 어떤 거야?
NPC-Scalper(3);ColtWalker(3)<Speaker>매기</Speaker>||<BGM>GF_21summer_avg_SecretAgent</BGM>:......+아직 몰라.
NPC-Scalper(3)<Speaker>캐서린</Speaker>;ColtWalker(3)||:모르면서 그걸 받았어?
NPC-Scalper(3);ColtWalker(3)<Speaker>매기</Speaker>||:아무튼 쉬운 일은 아니겠지.+의뢰를 받은 것만으로도 우릴 그 강도 패거리한테서 구해 줄 정도니까.
