()||<BIN>22</BIN><BGM>BGM_Sneak</BGM>:...삑, 안젤리아가 통신 요청을 보냈다.
NPC-Ange(0)<Speaker>안젤리아</Speaker><通讯框>||<BIN>22</BIN>:알아낸 거 있어?
NPC-Persica(1)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:어떻게 알았어?
NPC-Persica(1);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>22</BIN>:30분째 연락 안 했잖아, 아무 단서도 못 찾았다고는 생각되진 않는데.+군의 장갑 부대는 아직도 자리를 지키고 있어서, 불안해......
NPC-Persica(1)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:좋은 거 아니야?
NPC-Persica(1);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>22</BIN>:군이 스스로 우리 좋은 일을 해줄 리가 없지, 분명 다른 계획이 있을 거야.+그 예고르가 아직 전장에 남아 있어, 분명 뭔가 꼼수를 부리고 있을 테지.
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:그건 됐어. 일단 자료만 모두 얻으면, 임무도 절반 정도 성공한 거잖아?
NPC-Persica(3);NPC-Ange(0))<Speaker>안젤리아</Speaker>||<BIN>22</BIN>:너는 내 수준을 너무 낮게 보는 거 아냐? 그리고 주변에 더 이상 얻을 수 있는 자료도 없어.+군의 메인 서버마저 다 뒤져봤으니, 오히려 임무가 지나치게 순조롭다는 느낌도 들어...
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:안젤리아...+군의 서버는… 너희가 뚫은 거야?
NPC-Persica(3);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>22</BIN>:어? 물론 아니지.+우리가 현장에 도착했을 때, 방화벽은 이미 뚫려있었어.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:...왜 그랬을지는 생각해봤어?
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>22</BIN>:말했잖아, 생각할 틈이 없었다고...+아마 군의 인원이 후퇴할 때 깜빡했다가, 【우산】에 감염되어서 열린 게 아닐까?+비록 철혈이 군의 중요한 서버를 뚫을 수 있을 거라곤 믿기 힘들지만…
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:【우산】에 감염...?+아니야, 그럴 것 같지 않아. 아무리 군의 표준 방화벽이라 해도, 철혈의 해독 능력보다 훨씬 우수하니까.
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>22</BIN>:그렇다는 건... 철혈이 방화벽을 뚫은 게 아니란 거야?+전장에서 생존하기 바빠서, 그 점은 생각 못 했는데.
