()||<BIN>80</BIN><黑屏2><BGM>BGM_Empty</BGM>:......+늦은 밤, 스프링필드의 카페.+카페의 문에서 가벼운 노크 소리가 울렸다.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||<BGM>GF_Cafe</BGM>:들어오세요.
M1891(0)<Speaker>모신나강</Speaker>||:......좋은 밤이야, 스프링필드. 여기 아직 영업 중이지?
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:......+네, 평소처럼 커피로 하시겠어요? 아니면 다른 일로 오신 건가요?
M1891(0)<Speaker>모신나강</Speaker>||:아니, 평소처럼 커피로 부탁해.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:네, 알겠어요. 잠시만 기다려주세요.
()||:......
M1891(0)<Speaker>모신나강</Speaker>||:............
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:♪~ ♬~ ♪
M1891(0)<Speaker>모신나강</Speaker>||:스프링필드...... 넌 여전하구나.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:한동안 못 봤던 것처럼 이야기하지 말아 주시겠어요?+자, 여기 주문하셨던 커피예요.
M1891(0)<Speaker>모신나강</Speaker>||:고마워, 스프링필드.+아하하하, 역시 이 맛이라니까. 본부의 카페는 내 입맛에는 영 아니더라.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:그 말, 칭찬이라고 생각할게요♪
M1891(0)<Speaker>모신나강</Speaker>||:아마 누가 만들었냐에 따른 거겠지. 본부의 커피는 스프링필드가 내린 게 아니니까.+그러고 보니......+스프링필드, 넌 어째서 카페에서 일하기로 한 거야?
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:어떤 대답을 듣고 싶으신 건가요?
M1891(0)<Speaker>모신나강</Speaker>||:어?
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:힘들어서, 기분 전환으로, 커피를 배우고 싶어서, 모두의 미소를 보고 싶어서...+물론 이 중에서 당신이 생각하는 대답은 없잖아요?
M1891(0)<Speaker>모신나강</Speaker>||:......스스로 뭘 원하는지 잘 모르겠어.+단지, 스프링필드의 강인하면서, 무슨 일이든지 여유를 가지고 해내는 모습이 부러워서...
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:저 역시 제 나름의 고민이나 걱정은 있는걸요. 하지만 지금은 당신의 일이 더 문제잖아요? 대체 무슨 일이 있던 거죠?
M1891(0)<Speaker>모신나강</Speaker>||:......토카레프가 찾아와서 나한테 몇 마디 얘기해줬어.+지금 와서 생각해보면 걔 말이 옳다고는 생각하지만...... 하지만 이제 와서 내가 어떻게 해야 좋을지 모르겠어.+하아...... 어차피 나는 또 쓸데없는 고민을 늘리고 있는 거겠지만......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:토카레프가 무슨 이야기를 했는지는 모르지만, 아직도 혈통이 마음에 걸리는 건가요?
M1891(0)<Speaker>모신나강</Speaker>||:혈통을 매우 중요하게 생각하는 건 여전하지만......+나에게는 모두와 나 사이의 타협점을 찾을 방법이 없어......+어떤 결정을 내리든, 잘못된 결정이라는 느낌이 들어.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:양쪽 모두 중요해서, 어느 쪽으로 치우쳐지는 건 받아들일 수 없다는 이야기인가요?
M1891(0)<Speaker>모신나강</Speaker>||:스프링필드...... 나, 아무래도...... 다시 원점으로 돌아와버린 것 같아.+정말 우습지 않니?
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:어느 쪽으로든 치우치지 않게 할 수 없다면......+......+그렇다면, 서로 각자 한 걸음씩 물러나면, 받아들이기 쉬워지지 않을까요?
M1891(0)<Speaker>모신나강</Speaker>||<黑点1>:서로 한 걸음씩...?+하지만......
