()||<BIN>7</BIN><Night><BGM>BGM_Sneak</BGM>:......리벨리온 소대는 계속해서 철혈의 봉쇄를 뚫고, 404소대가 위치한 장소로 나아갔다.
AK12(0)<Speaker>AK12</Speaker>||<BIN>7</BIN><Night>:저기 궁금한데, 안젤리아가 구조대상이 404소대라고 했을 때... 좀 실망했어?+SOPII나, 다른 사람... 심지어 지휘관도 아니라서.
AK12(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:명령은 명령입니다.+구조대상이 404소대인 이상, 그것이 지금 제일 중요한 임무일 뿐이죠.
AK12(0)<Speaker>AK12</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:...그래.+그럼 이후에 어떻게 될지 궁금하지 않아?
AK12(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:전......
M4A1Mod(0)<Speaker></Speaker>||<BIN>7</BIN><Night>:......!
M4A1Mod(0)<Speaker>M4A1</Speaker>||<黑屏1><BIN>7</BIN><Night><BGM>BGM_Empty</BGM><震屏>:윽...+이 느낌, 또...
청아한 여자 목소리()<Speaker>청아한 여자 목소리</Speaker>||<BIN>9</BIN><黑屏2><BGM>BGM_Brain</BGM>:잘하고 있구나, M4A1.+점점 너의 본래 모습으로 돌아가고 있는 거야.+이제 곧... 집에 도착할 거야... 너만 원하면, 모두 집에 돌아갈 수 있어...
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>9</BIN>:끈질기게 달라붙을 거라 예상했어요, 아직도 당신이 누군지 알려줄 생각은 없는 건가요?
()<Speaker>청아한 여자 목소리</Speaker>||<BIN>9</BIN>:답은 너 스스로 찾아야만 의미가 있는 거야.+답을 원한다면, 우선 과거의 너를 되찾아.+"그 아이"와 연결 하는건... 이 모든 것의 시작점이니까.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>9</BIN>:...언제까지나 제가 그쪽 바람대로 움직이기를 원하는 거죠?
()<Speaker>청아한 여자 목소리</Speaker>||<BIN>9</BIN>:넌 진실을 모르고 있어...+그리고 난 널 해치지 않아.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>9</BIN>:그럼 증명해 봐요.+저 대신 SOPII와 M16A1의 위치를 찾아준다면...+"그 아이", 그 망할 엘더브레인과 다시 연결해볼 테니까요!
()<Speaker>청아한 여자 목소리</Speaker>||<BIN>9</BIN>:......+예상 밖이야, 전술 인형 M4A1, 스스로 교환조건을 제시하다니.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>9</BIN>:정말 스스로 말한 것처럼 친절하다면, 지금 당장 절 도와달라고요.
()<Speaker>청아한 여자 목소리</Speaker>||<BIN>9</BIN>:......+좌표......+여기...... 이 좌표로 이동해.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>9</BIN>:이 좌표는 SOPII의 위치인가요? 아니면 M16인가요?+제가 제시한 조건은 두 사람의 위치예요.
M4A1Mod(0)<Speaker>청아한 여자 목소리</Speaker>||<BIN>9</BIN>:난 이미 좌표를 네게 줬어...+네 동료를 되찾고 싶다면… 서둘러.
()<Speaker></Speaker>||<BIN>9</BIN>:......M4A1은 그 말을 듣고 냉소를 지었다.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>9</BIN>:서두르라고요...?+지금 주도권은 쥐고 있는 건 철혈이 아니죠. 당신에겐 협상으로 내걸만한 게 없어요.
()<Speaker>청아한 여자 목소리</Speaker>||<BIN>9</BIN>:...
M4A1Mod(0)<Speaker>M4A1</Speaker>||<黑屏1><BIN>9</BIN>:전 기다릴 수 있어요, 당신은 어떻죠?+대답해 보시죠!
AK12(0)<Speaker>AK12</Speaker>||<黑屏2><BIN>7</BIN><Night>:M4A1! M4A1!
AK12(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night><BGM>BGM_Empty</BGM>:......
