()||<BIN>82</BIN><BGM>BGM_Room</BGM>:그리폰 숙소 어느 방.
SV98(0)<Speaker>SV98</Speaker>||<BIN>82</BIN>:음...+이곳은 해발 240m로 고저차를 고려해서 높은 곳에서 저격하면...
SV98(0)<Speaker></Speaker>||<BIN>82</BIN>:SV-98이 책상 앞에 앉아 손가락을 움직이며, 모니터에 표시되는 지형도를 살펴보고 있었다.
SV98(0)<Speaker>SV98</Speaker>||<BIN>82</BIN>:직선거리는 약 850m...+일기예보 상 습도는 60%, 기온은...
SV98(0)<Speaker>???</Speaker>||<BIN>82</BIN>:너 또 수학 문제 풀고 있니?
SV98(0)<Speaker>SV98</Speaker>||<BIN>82</BIN>:아, SVD구나...
SV98(0);SVD(0)<Speaker>SVD</Speaker>||<BIN>82</BIN>:늘 하던 경계 임무 정도로 이렇게 거창하게 준비할 필요가 있나.+적이 있어 봤자 철혈 버러지 정도일뿐인데.
SV98(0)<Speaker>SV98</Speaker>;SVD(0)||<BIN>82</BIN>:그래도 준비를 해야 해.
SV98(0)<Speaker></Speaker>;SVD(0)||<BIN>82</BIN>:SVD가 고개를 들이댔다.
SV98(0);SVD(0)<Speaker>SVD</Speaker>||<BIN>82</BIN>:그래서, 무슨 준비인데?
SV98(0)<Speaker>SV98</Speaker>;SVD(0)||<BIN>82</BIN>:지금 지도 상에서 저격 포인트로 쓸만한 지점을 찾고 있어.+이 지점들에서 각 방향으로 저격하는 데 필요한 상세 거리와 변수를 계산해야 해.
SV98(0);SVD(0)<Speaker>SVD</Speaker>||<BIN>82</BIN>:오호라~ 꽤 노력하는데, 다만 좀 헛수고라는 느낌이 안 들어?
SV98(0)<Speaker>SV98</Speaker>;SVD(0)||<BIN>82</BIN>:그, 그게 무슨 소리야!+정확한 사격을 위해서 사전 준비는 결코 빠질 수 없어!
SV98(0);SVD(0)<Speaker>SVD</Speaker>||<BIN>82</BIN>:요 근처 전장은 수목이 무성하고, 지형도 들쑥날쑥한걸.+저격 포인트로 쓸 만한 고지는 많지만, 그 동시에 사각지대도 상당히 많지.+지금 여기서 머리 싸매는 것보다, 그냥 내일에 현장에서 어디서 쏠지 생각하지그래?
SV98(0)<Speaker>SV98</Speaker>;SVD(0)||<BIN>82</BIN>:그렇게 불확정 요소가 많은 만큼 사전에 대비를 해야 하는 거잖아!
SV98(0);SVD(0)<Speaker>SVD</Speaker>||<BIN>82</BIN>:참나... 너 같이 꽉 막힌 책벌레가 또 어디 있겠냐...+잘 들어, 진정한 엘리트는 이런 헛수고 따위 하지 않아.+날 봐, 의미 있는 곳에만 힘을 쓰잖아!
SV98(0)<Speaker>SV98</Speaker>;SVD(0)||<BIN>82</BIN>:그래도...
SV98(0);OTs14(0)<Speaker>OTs14</Speaker>||<BIN>82</BIN>:내일 바로 임무에 나가야 하는데, 아직도 안 자는 건 공간 정리할 필요 없을 정도로 마인드맵 메모리가 남아도나 보지?+아니면 아침까지 불침번 서서 날 대신 깨워줄 생각이니?
SV98(0)<Speaker>SV98</Speaker>;OTs14(0)||<BIN>82</BIN>:대, 대장...
SV98(0);OTs14(0)<Speaker>OTs14</Speaker>||<BIN>82</BIN>:임무와 업무에 열심인 건 좋지, 나도 시간 맞춰 잘 생각은 없지만 말이야.+그래도 AK47도 이미 자고 있으니, 아무리 작전 계획을 토론하고 싶어도 다른 대원을 생각해주지 않으렴?
SVD(0)<Speaker>SVD</Speaker>;OTs14(0)||<BIN>82</BIN>:난 할 말 다 했어. 잘 자, 우리 귀여운 후배야.
SV98(0);OTs14(0)<Speaker>OTs14</Speaker>||<BIN>82</BIN>:넌 아직 괜찮니? 차라도 타줄까? 아님 커피가 좋니?
SV98(0)<Speaker>SV98</Speaker>;OTs14(0)||<BIN>82</BIN>:걱정해주실 필요 없어요.+그래도 초탄 명중을 보장하기 위해서는 상당한 노력이 꼭 필요해요.
SV98(0);OTs14(0)<Speaker>OTs14</Speaker>||<BIN>82</BIN>:그래도 준비에 너무 힘을 쓴 나머지 현장에서 컨디션을 망치는 것을 보고 싶진 않아.+... 일단 가서 쉬렴, 내일 밤에 출격할 때까지 아직 시간은 얼마든지 있으니까, 그때 가서 천천히 생각해보렴.
SV98(0)<Speaker>SV98</Speaker>;OTs14(0)||<黑屏1><BIN>82</BIN>:... 알겠습니다, 대장!
SV98()<Speaker>SV98</Speaker>||<BIN>9</BIN><黑屏2>:(지금 이 계산은 결코 헛수고가 아니야!)
SV98()<Speaker>SV98</Speaker>||<BIN>9</BIN><黑屏1>:(내일 모두에게 증명해 보이겠어!)
