()||<BIN>71</BIN><BGM>BGM_Danger</BGM><黑屏2>:......
HK416(3)<Speaker>HK416</Speaker>||:이 녀석 너무 끈질기잖아!
UMP9(4)<Speaker>UMP9</Speaker>||:녀석의 방어를 뚫을 수 있는 사람이 없어...?!
UMP45(2)<Speaker>UMP45</Speaker>||:안젤리아! 에이전트가 예상보다 강력하다, 증원이 필요해──
NPC-Ange(0)<Speaker>안젤리아</Speaker><通讯框>||:엘더브레인을 묶어둘 순 있겠어? 지금 갈 테니──
NPC-Ange(0)<Speaker></Speaker>||:치지직───
NPC-Ange(0)<Speaker>??</Speaker>||:안젤리아, 또다시 내 임무를 도와줘서 고맙군.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||:예고르......! 암호화된 채널을 어떻게...!
NPC-Ange(0);NPC-Yegor(2)<Speaker>예고르</Speaker><通讯框>||:네 데이터 블랙 에어리어의 수법은 여전히 조잡하군, 이 점이 네 목숨을 앗아갈 것이라고 말했었을 거다.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Yegor(2)||:언제부터 도청하고 있었던 거지...!?
NPC-Ange(0);NPC-Yegor(2)<Speaker>예고르</Speaker>||:방금 전부터 듣고 있었다, 네놈들의 잡담 따위엔 흥미 없으니까.+두 번씩이나 살아남다니 참 놀랍군, 하지만 네 몸에서 더 이상 의체로 교체할 수 있는 부분은 얼마 안 남았다, 그만 포기하시지.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Yegor(2)||:왜 언제나 살아남을 수 있었는지 알려줄까?+네가 항상 너무 자신감에 차 있어서 그런 거라고.
NPC-Ange(0);NPC-Yegor(2)<Speaker>예고르</Speaker>||:입만 살았군, 진격 개시.
AR15Mod(5)<Speaker></Speaker>()||<震屏><SE1>Explode</SE1>:.........!
AR15Mod(5)<Speaker>AR15</Speaker>||:무슨 일이야?!
HK416(3)<Speaker>HK416</Speaker>||:장갑 부대야! 군의 탱크라고!
M4A1Mod(4)<Speaker>M4A1</Speaker>||:...+예고르......!
NPC-Ange(0)<Speaker>안젤리아</Speaker><通讯框>||:45! 현재 상황은 어떻지!
NPC-Ange(0);UMP45(2)<Speaker>UMP45</Speaker>||:콜록… 탱크를 뚫을 수가 없어! 우리와 엘더브레인 사이를 갈라놓았어! 공세가 매우 거세!
NPC-Ange(0)<Speaker>안젤리아</Speaker>;UMP45(2)||:무슨 수를 쓰든 어떤 대가를 치르든 절대 녀석들 손에 엘더브레인을 넘겨주지 마!+알겠어!? 곧 그리폰의 지원을 데리고 도착할 테니까!
NPC-Ange(0);UMP45(2)<Speaker>UMP45</Speaker>||:그거 완전 양한테 늑대를 채식하게 만들라는 소리인데...
M4A1Mod(4)<Speaker>M4A1</Speaker>;UMP45(2)||<黑屏1>:불평 대지 말고, 반격할 방법을 찾아야 합니다!
