SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<BIN>10</BIN>:M16, 저것좀 봐!! 
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>:......!
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>48</BIN>:저게......【쥬피터】인가?!
RO635()<Speaker>RO635</Speaker>||:......틀림없어, 저건 거대형 포탑 【쥬피터】야.+섣불리 접근하지 마. 우리가 감당할 수 있는 화력이 아니야. 
M16A1()<Speaker>M16A1</Speaker>||:RO, 이 구조물에 대해, 뭔가 알고있는 거야? 
RO635()<Speaker>RO635</Speaker>||:예전에 인류거주지를 순찰할 때, 저런 것과 교전했던 적이 있었어.+페르시카의 연구에 따르면, 포탑 운용기술은 철혈이 군부에 침입해서 얻었을 가능성이 있다고 해. 철혈 내부 코드네임은 "마르두크". 우리에게 초점을 맞춰 전문적으로 연구개발을 했다고 들었어. 
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:흥, "그리폰 킬러"라는 거야?+그래도 우리 대처방법은 있는 거지? 
RO635()<Speaker>RO635</Speaker>||<黑屏1>:우선 정면돌파는 불가능할 거야. 다만 이전 작전에서......+만약 생존자들이 포탑 주변거점을 포위해서 점령할 수 있다면, 프로그램에 침입해, 화력을 대폭 약화시킬 수 있어. 
M16A1()<Speaker>M16A1</Speaker>||<BIN>10</BIN><黑屏2>:그말은 즉, 포탑 주위를 완전포위 하면, 그 위협을 줄일 수 있다는 거네, 맞지? 
RO635()<Speaker>RO635</Speaker>||:확실히 그것만이 우리가 맞서 싸울 수 있는 최고의 방법이야.+우선 주변을 포위한 뒤, 정면돌파로 포탑을 저지하자. 
M16A1()<Speaker>M16A1</Speaker>||:하...그런 전투가 되도록이면 늦게 오길 기도해야겠네
RO635()<Speaker>RO635</Speaker>||:그래, 적어도 보급이 충분히 된 후에 생각하는 게 좋을 것 같아. 우리는 이미...굶주림과 추위로 인해, 작전 진행에 많은 곤란을 겪고있으니까...
()||:【도움말】 포탑 거점을 점령하기 위해서는, 우선 포탑 주변 거점을 포위 점령해주세요. 포탑의 화력이 대폭 약화됩니다. 
