()||<BIN>8</BIN><BGM>BGM_Frontline</BGM>:............AR팀이 모두의 철수를 기다리는 시각, 그리폰 임시 지휘실. 
NPC-Helian(0)<Speaker>헬리안</Speaker><通讯框>||:좋은 아침입니다, 지휘관.+방금의 구조 작전은 훌륭했어요. 급하게 그렇게 많은 제대를 보내느라 수고 많았습니다.+비록 RO635가 이번에 급히 작전을 바꾼 것은 매우 위험한 모험이었지만, 이건 당신에 대한 신뢰가 있었기에 가능했던 거겠죠.+조만간 당신의 공훈을 인정하여 훈장을 수여하고 당신의 용감한 행동에 대해 치하할 겁니다.+하지만, 현재 전투는 아직 끝나지 않았습니다. 그러니 당신에게 다른 임무를 맡기려고 합니다....
페르시카()<Speaker>페르시카</Speaker>||:그건 내가 말하게 해줘, 헬리안. 
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:오랜만이야, 지휘관.+방금 도중에 붙잡힌 철혈 인형이 그 물건에 대해 말하는 걸 들었는데...
아키텍트()<Speaker>아키텍트</Speaker>||:어이! 난 이름이 있는 걸! 난 아키텍트야!+그리고! 내가 말한 것들은 얼떨결에 말한 거니까, 믿지 않는 게 좋아! 
NPC-Persica(0)<Speaker>페르시카</Speaker>||<黑屏1>:그 스크린을 봐줘-
페르시카()<Speaker>페르시카</Speaker>||<黑屏2><BIN>48</BIN>:저게 말하길, 이건 철혈이 군의 무기를 원형으로 개량시긴 화포야.+개인적으로 꽤 호기심이 생겨. 철혈의 엘더 브레인이 어째서 인형 AI에 기대어 이런 걸 계산했는지가 말이야. 
아키텍트()<Speaker>아키텍트</Speaker>||:흥흥, 우리 측 간부들은 모두 똑똑하니까! 정말 부럽지! 
페르시카()<Speaker>페르시카</Speaker>||: 물론 난 또 다른면으로 군의 무기기술 역시 매우 호기심이 생겨.+그러니 지휘관, 크루거가 대형운송기 부대가 쥬피터의 원형을 운반하도록 운용하는 걸 동의해줬어. 
아키텍트()<Speaker>아키텍트</Speaker>||:어이, 그건 우리의 보물이야! 너희들이 해체해서는 안 돼! 너희들이 갖고가는 건 더더욱 안 되고! 
헬리안()<Speaker>헬리안</Speaker>||:톰슨, 그것의 입을 막도록해
아키텍트()<Speaker>아키텍트</Speaker>||<黑屏1>:읍...! 읍....! 
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||<黑屏2><黑屏1><BIN>8</BIN>:다만 포대가 너무 커서말이야, 분해와 운송에 시간을 많이 잡아먹을 것 같아.+그전까지 당신이 철혈의 공세를 막아줄 수 있겠어?+아주 오래걸리진 않을 거야, 지휘관. 당신이 맡아줘. 
