()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>168</BIN><BGM>BGM_Moon</BGM>:......+날이 저문 도시에서도, 드물게 어두운 골목길.+감시 카메라의 시야가 닿지 않는 사각지대에서, AR15는 조용히 앉아 있었다. 그저 골목 바깥의 불빛이 그녀의 눈을 비출 뿐이었다.+등 뒤에서 발소리가 들려도, 뒤돌아보지 않았다. 그 대신...
AN94(5)<Speaker>AN94</Speaker>||:그렇게 갑자기 총을 겨누면, 나도 반사적으로 사격할 수 있다.
AN94(5);AR15Mod(0)<Speaker>AR15</Speaker>||:그럼 내 뒤에서 나타나지 마.
AN94(5);AR15Mod(0)<Speaker></Speaker>||:AR15가 총을 거두고 일어서려던 와중, AN94는 몸을 숙여 무릎을 꿇었다.+당연히 충성의 맹세 같은 게 아니라, 그저 등에 짊어진 무거운 군장 가방을 내려놓기 위해서였다.
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:장비와 전지를 가져왔다. 작전 기간이 길어질 수 있기에, 보급에 시간을 낭비하지 않도록 안젤리아가 일괄 지급했다.
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:이 커다란 걸 메고 어떻게 왔어?
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:하수도를 통해서 왔다. 저번 작전에서 AK12가 이 도시의 하수도 지도를 찾아내 공유해준 덕분이다. 몸을 숨기거나 휴식을 취할 공간도 다수 확인했다.+하지만 모든 통로가 기록되어 있지는 않은데다, 수상한 신호 차단 구역도 존재하니 섣불리 접근하지 않는 것이 좋겠지. 이를 전부 고려한 결과, 사용 가능한 경로는 두세 곳뿐이다.
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:그 하얀 놈들이 있는데, 차단 구역이 있는 게 당연하지.+얼마나 챙겨왔는지 보자...+탄약 한번 엄청 많네. 둘이서 다 쓰지도 못할 거 같은데. 그리고 신호 필터 장치에, 체온 분석기에... 이 쇠지렛대는 뭐하러 가져온 거야?
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:AK12가 유용할지도 모른다면서 줬다. 그리고 여기, 네 무전기다. 암호화 방식을 바꾸었으니 확인하도록.
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:고마워... 이건 또 뭐야?
AN94(0);AR15Mod(0)<Speaker></Speaker>||:AR15가 가방 바닥에 깔려있던 책을 꺼냈다.
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:【성경】이다.
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:...이것도 AK12가 챙기라고 한 거야?
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:그래, 작전 중 네게 필요할 거라고 했다.
AN94(0);AR15Mod(5)<Speaker>AR15</Speaker>||:그럴 리가...+아, 안에 플러그인 칩셋이 있네.
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(5)||:현 상태의 너는 지나 네트워크에 접속할 수 없으니, 대신 그 칩셋을 통해 네게 필요한 기능을 업데이트할 수 있을 거다.
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:이렇게 신경써 주다니 정말 고맙네.
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:그건 AK12가 준비해준 거다. 감사는 AK12에게 해라.
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:입만 열면 AK12, AK12... 대체 걔를 얼마나 좋아하는 거야?
