()||<BIN>7</BIN><BGM>BGM_Frontline</BGM>:......
UMP45(0)<Speaker>UMP45</Speaker>||:좋아, RO. 준비는 다 됐지? 
RO635(0)<Speaker>RO635</Speaker>||:45, 정말로 그렇게 하실 건가요? 
UMP45(0)<Speaker>UMP45</Speaker>||:난 이미 지도와 건의를 너에게 전했어. 남은 건 네가 얼마나 날 믿나 보는 거지. 
RO635(0)<Speaker>RO635</Speaker>||:......좋아요. 
RO635(5)<Speaker>RO635</Speaker>||:다들, 다음은 404가 기지에 잠입해서 포대의 제어 전원을 차단할 거야. 
M16(3)<Speaker>M16A1</Speaker>||:또 그 방법을? 아키텍트가 방비를 해두지 않았을까? 
UMP45(0)<Speaker>UMP45</Speaker>||:내가 아까 관찰해뒀어.+그녀의 제어권으로는 모든 전원이 차단되는 것을 한 번에 막지못할 거야. 
RO635(0)<Speaker>RO635</Speaker>||:비록 잠깐의 시간을 버는 것뿐이지만, 우리가 여길 떠나는 데엔 충분한 시간이야. 
UMP9(0)<Speaker>UMP9</Speaker>||:그리고 우리가 포탑의 전원 뿐만 아니라, 녀석들의 통신망도 끊을 수 있어.+녀석들의 행동을 혼란스럽게 만든 틈을 이용하면 시간을 더 벌 수 있어. 
RO635(0)<Speaker>RO635</Speaker>||:바로 그거예요. 그리고 M1887이 그동안 다른 인원들과 전장에서 게이저의 주의를 끌어줘야 해요. 
M1887(0)<Speaker>M1887</Speaker><通讯框>||:RO635, 그건 다시 말해, 저희가 동시에 두 우두머리를 상대해야 한다는 건가요? 
RO635(0)<Speaker>RO635</Speaker>||:네, 분명 여러분이 고생할 거예요. 미리 마인드맵을 백업해주세요.+큰 걱정 하지 않으셔도 돼요. 404 분들이 작전을 완료하기 전까지 제가 계속 여러분을 지휘하겠어요. 
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:하지만 이렇게 되면 좀 강요하는 게...
RO635(0)<Speaker>RO635</Speaker>||:이렇게 하지 않으면, 우리가 다시 이렇게 할 기회도 없을 거야.+일단, AR팀이 기회를 틈타서 기지를 습격하여 기지의 컨트롤 시스템을 해킹해서, 잠깐동안 구역 밖으로 통하는 통로를 열도록 할게요.+마지막에는 모두 함께 곧장 통로를 돌파하고, 다같이 비행장에서 구조를 받는 거예요. 다들 이해하셨죠? 
M16(3)<Speaker>M16A1</Speaker>||:RO......+모두들 너만을 믿고 있어. 이 것 만큼은 명심해. 
RO635(0)<Speaker>RO635</Speaker>||:걱정마, 나도 네 말을 기억하고 있어.+다들, 저를 믿어주시고, 다 같이 집으로 돌아가는 거예요. 
M1887(0)<Speaker>M1887</Speaker><通讯框>||:난 지휘자의 모든 명령을 받아들이겠어요. 이것이 인형의 첫 명령이니까요. 
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:아주 좋아. 그럼 다른 의견은 없는 거지?+RO, 마지막 작전을 준비하도록 해. 
