()||<BIN>34</BIN><BGM>BGM_Frontline</BGM>:FN 조사팀의 조사가 끝난 후......
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:57, 지금 상황은 어때?
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>34</BIN>:딱 맞춰 왔네, 여긴 이미 준비 다 끝났어.+"토끼"로 추정되는 회선과 연결해뒀어. 언제든지 통신 가능해.
FAL(0);BB_Noel(2)<Speaker>노엘</Speaker>||<BIN>34</BIN>:......
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:.......노엘 씨, 이다음은 당신에게 맡기도록 할게.
FAL(0);BB_Noel(2)<Speaker>노엘</Speaker>||<BIN>34</BIN>: ......네! 저한테 맡겨주세요!
FN57(0)<Speaker>FN-57</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑屏1>:자, 그럼 이제 연결을 시작해볼까나......
()||<BIN>9</BIN>:......
BB_Noel(2)<Speaker>노엘</Speaker>||<BIN>34</BIN><黑屏2>:......이게 바로..... "토끼"?
GG_elfeldt_505(0)<Speaker>엘펠트</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:......
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>노엘</Speaker>||<BIN>34</BIN>:저기...... 안녕하세요?
GG_elfeldt_505(0)<Speaker>엘펠트</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:......
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>노엘</Speaker>||<BIN>34</BIN>:......
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:............+.....뭔가 더 얘기해봐.
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>노엘</Speaker>||<BIN>34</BIN>:네?...... 아, 알겠어요.
GG_elfeldt_505(0)<Speaker>엘펠트</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:......
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>노엘</Speaker>||<BIN>34</BIN>:......당신은 지금...... "인형"을 찾고 계신 거죠?+그렇다면 절 봐주세요! ......제가 바로 당신이 찾던 사람 아닌가요!?
GG_elfeldt_505(0)<Speaker>엘펠트</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:......
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:............+아무런 반응도 없어, 실패한 거야?...
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>노엘</Speaker>||<BIN>34</BIN>:............+제가 보기엔, 어딘가 이상한 것 같아요...
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:왜 그래?
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>노엘</Speaker>||<BIN>34</BIN>:마치...좀 다른 듯한...
FAL(0);GG_elfeldt_505(0)<Speaker>엘펠트</Speaker><通讯框>||<BIN>34</BIN><BGM>BGM_Empty</BGM>:.......섬멸......
FAL(0)<Speaker>FAL</Speaker>;GG_elfeldt_505(0)<通讯框>||<BIN>34</BIN>:......!
FAL(0);GG_elfeldt_505(0)<Speaker>엘펠트</Speaker><通讯框>||<BIN>34</BIN>:엘펠트 밸런타인......+쓸모없는 인형들을 섬멸하겠습니다!
FAL(0)<Speaker></Speaker>||<BIN>34</BIN>:통신이 중단되었다......
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:......방금 그건......
FAL(0)<Speaker></Speaker>||<BIN>34</BIN><BGM>BGM_Empty</BGM><SE1>Explode</SE1><震屏>:쾅——!
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:큭! ...무, 무슨 일이야!?
FAL(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>34</BIN><BGM>BGM_Danger</BGM>:FAL! 전방에 대량의 철혈 유닛이 나타났어요!
FAL(0)<Speaker>FAL</Speaker><通讯框>;FN49(0)||<BIN>34</BIN>:말도 안 돼! ......철혈 녀석들 대체 어디서 튀어나온 거야!?
FAL(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>34</BIN>:모르겠어요! 외부에서 침입한 흔적은 없는 것이, 마치 허공에서 갑자기 나타난 것 같아요!
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>34</BIN>:FAL..... 큰일이야. 공장의 시설이 누군가에 의해 활성화되었어.+콘솔을 보니, 흩어져 있던 철혈 인형들도 활성화된 것 같아.... 계속해서 증가하고 있어!
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>34</BIN>:......칫, 매복에 걸린 건 오히려 우리였나?+그 통신 모듈...결국 처음부터 전부 함정이었던 거였네...
FAL(0);BOSS-4(0)<Speaker>인트루더</Speaker><通讯框>||<BIN>34</BIN>:이제야 알아차린 것 같네.
FAL(0)<Speaker>FAL</Speaker>;BOSS-4(0)<通讯框>||<BIN>34</BIN>:흥...... 별로 놀랍지도 않아, 인트루더.+단지...... 네 녀석의 각본에선 또 어떤 수작을 부려놨나 싶을 뿐이야.
FAL(0);BOSS-4(0)<Speaker>인트루더</Speaker><通讯框>||<BIN>34</BIN>:그렇지도 않아. 나도 수많은 관객 중 한 명일 뿐인걸. 이런 식의 전개도 나쁘진 않네.+게다가 미끼를 던지지 않으면, 사냥감들이 꼬이지 않아서 말이야.+마지막 사냥터에서 보여줄, 너희들의 최후의 연출을 기대하고 있을게......
FAL(0)<Speaker></Speaker>||<BIN>34</BIN>:통신이 중단되었다......
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:......거기서 잘 보고 있도록 해. 인트루더.+네가 배우를 잘못 골랐다는 걸... 뼈저리게 느끼도록 해줄 테니.
FN57(0)<Speaker>FN-57</Speaker>||<BIN>34</BIN>:FAL! "토끼"가 오고 있어!
GG_elfeldt_505(0)<Speaker>엘펠트</Speaker>||<BIN>34</BIN>:인형...... 섬멸...... 인형......
BB_Noel(2)<Speaker>노엘</Speaker>||<BIN>34</BIN>:이미...... 여기까지 들이닥쳤어요!
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:......노엘 씨. 지금은 너나 할 것 없어.+살아 돌아가기 위해... 힘을 합쳐야 할 때야.
FAL(0);BB_Noel(2)<Speaker>노엘</Speaker>||<BIN>34</BIN>:......네!+저희 모두 반드시 돌아가는 거예요!
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑点1>:자, 가자......+이제 슬슬...... "헌팅 래빗 작전"을 마무리할 시간이야.
()||<BIN>10</BIN><黑点2>:
