페르시카()<Speaker>페르시카</Speaker>||<BIN>9</BIN><BGM>BGM_Room</BGM><黑屏2>:너 정말... 지금 가야겠어?
M4A1()<Speaker>M4A1</Speaker>||:네.
페르시카()<Speaker>페르시카</Speaker>||:지금 밖은 매우 위험한 데다가, 아직 조정도 제대로 끝나지 않은 상태인데도...
M4A1()<Speaker>M4A1</Speaker>||:제가 가지 않으면 안 된다는 거 아시잖아요.+그래도 저를 막으시겠다면, 제 기체를 정지시키고 오프라인 상태로 만들면 될 문제예요.
페르시카()<Speaker>페르시카</Speaker>||:...그래, 이제 마음을 굳힌 거구나.+옥상에 내 개인 헬기를 준비해놨어. 지휘관이 네가 어디로 가야 할지 알려줄 거야...
M4A1()<Speaker>M4A1</Speaker>||:페르시카 씨... 고마워요.
()||<黑屏1>:............전술 인형 M4A1이 방을 나섰다.
NPC-Persica(0)<Speaker>페르시카</Speaker>||<BIN>22</BIN><黑屏2>:리미트를 해제하게 되면, 역시 성격에 변화가 일어나기 시작하는구나...+아니지, 지금은 이런 생각을 하고 있을 때가 아니야.
NPC-Persica(0)<Speaker></Speaker>||:............페르시카가 어딘가로 연결을 시도했다.
NPC-Persica(0)<Speaker>시스템 알림</Speaker>||:...Access Complete.
NPC-Persica(0)<Speaker>페르시카</Speaker>||:............
NPC-Persica(0)<Speaker>SoundOnly</Speaker>||:왠 일로 천하의 페르시카 님께서 나한테 연락을 하셨나.
NPC-Persica(0)<Speaker>페르시카</Speaker>||:시치미 떼지 마, 철혈의 데이터베이스 안에 표식을 남겨둔 건 너잖아.+안젤리아, 너란 거 다 알고 있으니까, 날 피하려고 하지 마.
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker><通讯框>||:아아......+정말로 그리운 이름인걸.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:너 또 코드 네임을 바꾼 거야?
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:그냥 그 이름으로 불러줘. 난 그 이름이 꽤 마음에 들거든. 특히 네가 불러줄 때가 제일 좋더라고.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:.....딴소리 하지 말고. 표식을 남긴 거 너 맞지?
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:하하하, 드디어 찾아낸 건가.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:주소를 알고 있다는 말은, 네가 예전에 가봤다는 뜻이겠지.
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:그 표식은 옛정 때문에 남겨둔 거야. 더 파고들어봤자 너한테도 별로 좋을 건 없을 텐데.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:아직도 날 믿지 못하겠다는 말이야?
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:미안한데 옛날이야기만 할 거라면, 내가 지금 좀 바쁘거든.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:......그럼 화제를 바꾸자고.+그때의 감시 카메라 영상을 찾아냈어.+하지만 운반 중이던 무인기가 피격당해 오염지역에 추락해 버렸지. 그 소대를 회수 임무에 사용하고 싶어.
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:그런 거라면 AR팀에게 맡기면 되잖아?
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:그건 그렇지만, 크루거가 모든 인형을 다른 곳에 배치해서 말이지...
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:...전부?+그리폰이 이번에 무슨 짓을 벌일지, 정말로 기대되는걸...
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:그래서 도와줄 거야, 말 거야.
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:너라면 감시 영상을 보지 않아도, 무슨 일이 일어났을지 충분히 짐작할 수 있을 텐데.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:............+그렇지만... 내 눈으로 직접 확인하고 싶어서 그래...+너라면 이해할 수 있겠지.
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:칫...+알겠어, 그렇다고 해서 가격을 깎아주지는 않을 거야. 우리도 땅 파서 장사하는 건 아니니까.
NPC-Persica(2)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:영상만 손에 넣을 수 있다면, 돈 따윈 얼마든지 낼 수 있어.+그리고 한 가지 더...... 너한테 부탁할 게 있는데...
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:그렇다면 말하지 마. 별로 좋은 일도 아니겠지.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:M4A1이 가버렸단 말야...... 나는 막을 수 없었어.
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:하아...... 알겠어.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:M4, 그리고 AR팀의 안전......+이게 너한테 의뢰하는 다른 하나의 요청이야.
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:이건 아까 요청한 임무보다 훨씬 더 어렵잖아.+너도 알다시피 걔들은 이미 군사 작전 범위 내로 들어갔어. 이건 이미 내 능력을 벗어난 일이라고.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:나도 알아...... 하지만 그 애들을 지켜줄 수 있는 건 지금도 너밖에 없어.+그리고 너와 걔들은......
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:그 이상 말하지 마. 벌써 옛날에 잊어버렸으니까......+그럼 이사할 준비나 하고 있어. 이번에는 돈이 제법 많이 들 테니까 말이야.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:고마워. 괜찮아...... 너말고 부탁할 사람이 없으니까...... 
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:페르시카, 너......
NPC-Persica(2)<Speaker>페르시카</Speaker>;NPC-Ange(0)||:다만... 만약 네가 실패한다면 한푼도 주지 않을 거야.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<震屏>:너 이 자식이!+내가 만약 퇴직한다고 해도 고양이 만큼은 절대로 키우지 않겠어! 끊어!
()||:......안젤리아가 거칠게 통신을 끊어버렸다.
NPC-Persica(2)<Speaker>페르시카</Speaker>||<黑屏1>:안젤리아, 너 그거 알아?+고양이 기르는 사람들은 처음엔 전부 다 그렇게 말하더라고.
()||<黑屏2><BGM>BGM_Empty</BGM><BIN>9</BIN>:......세 시간이 지났다.
무전 통신()<Speaker>무전 통신</Speaker>||<BGM>BGM_Sneak</BGM>:공역 193x432-1 유닛. 여기는 임시 관제탑. 지금 당장 신분을 밝히도록.
조종사()<Speaker>조종사</Speaker>||:여기는 IOP 회사 소속의 수송 헬리콥터. 등록 번호 xed900002.+우리는 이미 해당 공역에 대한 통행 권한을 요청했다.
무전 통신()<Speaker>무전 통신</Speaker>||:공역 193x432-1 유닛은 공중에서 대기 바람. 현재 비행경로를 탐색 중.
조종사()<Speaker>조종사</Speaker>||:라져, 근처를 순회 비행하고 있겠다.
M4A1()<Speaker>M4A1</Speaker>||:무슨 일이죠?
조종사()<Speaker>조종사</Speaker>||:이상한걸. 얼마 전까지만 해도 이 루트의 공중 관제가 그리 까다롭지 않았거든.
무전 통신()<Speaker>무전 통신</Speaker>||:공역 193x432-1 유닛, 현재 진입하려는 공역은 이미 군사 보호구역으로 지정되었으므로 권한이 없는 유닛의 출입을 불허한다.+즉시 해당 공역을 이탈하라.
조종사()<Speaker>조종사</Speaker>||:라져, 이탈하겠다.
M4A1()<Speaker>M4A1</Speaker>||:더 이상 갈 수 없는 건가요?
조종사()<Speaker>조종사</Speaker>||:공역이 봉쇄되었으니, 지금은 돌아가는 수밖에.
M4A1()<Speaker>M4A1</Speaker>||:지상도 봉쇄되었을까요?
조종사()<Speaker>조종사</Speaker>||:그건 잘 모르겠군. 다만, 군사 보호구역으로 지정됐다면 하늘이나 지상이나 똑같은 상황일 거야.
