()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
()<Speaker>댄들라이</Speaker>||<BGM>BGM_Room</BGM><黑屏2><黑屏1>:현재, "그리폰 대 패러데우스 모의전" 관련 데이터를 정리하는 중...+이 데이터는 AR팀과 404, 리벨리온의 자료를 포함하지 않으며, 일반 그리폰 전술인형의 데이터만을 기록함.
DesertEagle(0)<Speaker>댄들라이</Speaker>||<黑屏2><BIN>197</BIN><黑屏1>:모의전의 첫 번째 통과자는 실격 이성질체와의 접촉 경험이 있는 데저트 이글 소대.+탈린에서 기습을 받았던 경험을 바탕으로, 이들은 전자 침투 능력에 대항해 신속한 판단을 내리고 작전 방침을 즉각 수정하는 적응력을 보임.
FAL(0)<Speaker>댄들라이</Speaker>||<黑屏2><BIN>202</BIN><黑屏1>:두 번째, FN 소대.+테스트를 통해, FN 소대는 돌발상황 대처 능력이 여타 소대보다 우월함을 관측함. 이는 이들이 이상 현상의 대응을 자주 담당한 영향으로 추정.+주석 - FN 소대원들의 인간관계 유지 방식도 어느 정도 연구할 가치가 있음.
M1928A1(0)<Speaker>댄들라이</Speaker>||<黑屏2><BIN>55</BIN><黑屏1>:3위, 톰슨 소대.+분석 결과는 데저트 이글 소대와 동일하고, 작전 소요 시간이 2위인 FN 소대와 단 17초의 차이만 있었음.+아쉬운 점은 소대의 종합 작전 수행 능력이 낮은 편에, 대장 톰슨의 지도가 있어야만 대원들이 능력을 온전히 이끌어낼 수가 있음.
NEGEV(0)<Speaker>댄들라이</Speaker>||<黑屏2><BIN>227</BIN><黑屏1>:4위, 네게브 소대.+해당 소대의 작전 스타일은 매우 폭력적이면서도 요령이 있어, 취약한 유닛을 신속히 격파한 후 강력한 유닛을 집중 공격하는 것에 특출남.+다만 이러한 전술은 적의 실력이 자신과 동등한 상황에나 적합하며, 능력차가 클 시의 융통성이 전무하다.+팔디스키에서의 요격전에서 해당 소대가 빠르게 궤멸한 기록이 이 분석을 입증함.
()<Speaker>댄들라이</Speaker>||<黑屏2><BIN>9</BIN><黑屏1>:......
()<Speaker>댄들라이</Speaker>||<黑屏2><BIN>99</BIN>:임시 소대 - "퍼즐 소대".+현재까지 모의전을 통과하지 못한 이 소대는 다수의 문제를 보이기에, 비교적 중요한 사항만을 나열함.
VHS(0);SL8(3)<Speaker>댄들라이</Speaker><同时点亮>||:임시 대장 VHS와 임시 대원 SL8 간의 관계가 매우... "미묘"함.
VHS(0)<Speaker>댄들라이</Speaker>||:더불어 두 인형의 행동 스타일도 정반대이기에, 관점의 차이로 인한 불필요한 마찰이 다수 발생함.
AUGPARA(0)<Speaker>댄들라이</Speaker>||:임시 대원 AUG Para는 소대의 분위기 메이커라 할 수 있으나, 자신을 인간이라 인식하는 오류로 인해 단독 행동이 필요한 상황에서는 자신의 "단 한 번뿐인 목숨"을 우선시함.+또한 자신의 소체가 파손된 것을 목격할 시 마인드맵이 붕괴될 가능성이 있으므로, 각별한 주의를 요함.
GeneralLiu(0)<Speaker>댄들라이</Speaker>||:임시 대원 류는 종합 성적이 우수하나, 임기응변 능력이 매우 부족해 지금까지 7회 시행된 모의 전장에서 작전 도중 기능이 정지한 상황이 2회나 발생함.
M200(0)<Speaker>댄들라이</Speaker>||:다만 배려심이 높은 M200이 류를 보조할 수 있어, 이 임시 소대에서 유일한 상호보완 관계를 형성함.
()<Speaker>댄들라이</Speaker>||<黑屏1>:결론 - 퍼즐 소대는 독립 소대로서 임무를 수행하기에 부적합하므로 재고를 권유.+기록 종료.
