()||<BIN>34</BIN><BGM>BGM_Room</BGM>:............작전이 종료된 후, AR팀은 7호 문서가 보관되어 있는 데이터 뱅크에 도착했다.
RO635(0)<Speaker>RO635</Speaker>||:페르시카 씨, 지휘관님. 저희는 이미 목표 데이터 뱅크에 도착했습니다.
NPC-Persica(2)<Speaker>페르시카</Speaker><通讯框>;RO635(0)||:아아......생각보다 훨씬 순조로운걸.+그렇다면, 7호 문서는 찾은 거야?
NPC-Persica(2);RO635(0)<Speaker>RO635</Speaker>||:SOPII가 이미 보안설비를 통과했으며, 지금 데이터를 검색 중입니다.+저는 SOPII가 연결할 때, 신호를 내보내 중추 통신망의 방어 프로그램을 속일 거고요.+일단 7호 문서를 찾으면, 바로 다운로드를 시작할 겁니다.
NPC-Persica(2)<Speaker>페르시카</Speaker>;RO635(0)||:그래......모두들 고생하는걸.+특히나 RO......네가 M4A1를 대신해서, 그녀가 하지 못했던 일을 해내는구나......
NPC-Persica(2);RO635(2)<Speaker>RO635</Speaker>||:칭찬해주셔서 감사합니다. 페르시카 씨.+저는 그저 명령에 따라 일을 하는 것 뿐입니다. 모든 것은 지휘관님과 AR팀원들의 공로죠.
NPC-Persica(2);RO635(0)<Speaker>RO635</Speaker>||:게다가 아직 작전은 끝나지 않았습니다. 아직 마음을 놓을 수는 없습니다.
NPC-Persica(3)<Speaker>페르시카</Speaker>;RO635(0)||:에......문서는 이미 찾은 거 아니야?
NPC-Persica(3);RO635(0)<Speaker>RO635</Speaker>||:SOPII가 문서를 다운로드 받을 때 메모리를 대량으로 점유하는 데다가, 저 역시 네트워크에 접속하고 있을 때는 단독행동이 불가능합니다.+그 동안은 M16을 제외한, 다른 사람들은 모두 매우 취약해집니다.+철혈이 언제 저희를 찾을 수 있을지는 잘 모르겠습니다만, 지휘관님께서는 계속해서 저희를 위해 시간을 벌어주시길 바랍니다.
NPC-Persica(3)<Speaker>페르시카</Speaker>;RO635(0)||:그렇다면......+RO, 철혈의 통신을 다시 한번 도청해주지 않겠어?
NPC-Persica(3);RO635(0)<Speaker>RO635</Speaker>||:저는 그렇게 하지 않는 걸 건의합니다. 지휘관의 행동이 보증되기 위해서는, 반 재밍 시스템은 계속해서 유지되어야 합니다.+하지만 현재 철혈의 통신을 해킹하게 된다면, 반대로 상대 측에서 저희의 위치를 알아차릴 가능성이 매우 높습니다. 특히나 지금 저희가 상대방이 어떤 카드를 꺼내들지 모르는 이상 더더욱 말이에요......
NPC-Persica(3)<Speaker>페르시카</Speaker>;RO635(0)||:우......그건......일리가 있는 말인 것 같네......
RO635(3)<Speaker>RO635</Speaker>||:(한숨을 쉬며) 커피를 너무 많이 마시신 것 같으니, 측정기를 사용해 강제로라도 휴식하시는 걸 건의합니다.
M16(3)<Speaker>M16A1</Speaker>||:RO, SOPII가 7호 문서를 찾아냈어. 네가 자리를 잡으면 바로 다운로드를 시작할 거야.+하지만 문서 파일이 너무 많은데다, 자리도 많이 차지하니, 제법 오랜 시간이 걸릴 것같아.
RO635(0)<Speaker>RO635</Speaker>||:이 곳에 남아줘, M16. 적의 스카웃을 자극하지 말도록 해.+바깥의 일은, 내가 조금 있다가 지휘관님에게 맡기도록 할게.
M16(0)<Speaker>M16A1</Speaker>||:왜? 내가 없었으면 좋겠어?
RO635(3)<Speaker>RO635</Speaker>||:난 그저 상황에따라, 합리적인 판단을 내리고 있을 뿐인걸.
M16(0)<Speaker>M16A1</Speaker>||:하하, 알겠어.......+난 여기서 너희들을 지키도록하지. 하지만 대신, 무슨일이 발생하더라도 상관하지 말고, 절대 데이터 뱅크에서 떠나면 안 돼.+이건 경험에서 우러나오는 말이니, 받아들이는 게 좋을 거야.
RO635(3)<Speaker>RO635</Speaker>||:도대체 어디에서 배운 경험인지는 모르겠지만.....좋아, 새겨듣도록 할게.
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||<黑屏1>:좋아, 남은 건 너에게 맡길게. RO.+난 잠깐......눈 좀 붙이러 가야겠어......
