()||<BIN>99</BIN><BGM>BGM_Room</BGM>:......
AK12(0)<Speaker>AK12</Speaker><通讯框>||<BIN>99</BIN>:안젤리아, 일은 순조로워?
AK12(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>99</BIN>:형식적인 안부를 묻는 건가?
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:내가 알기론 가정용 인형은 원래 인간의 심심풀이용이었다는데.
AK12(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>99</BIN>:아하하... 그 정도면 꽤 잘했어, 덕분에 기분이 풀린 느낌이야.+본론으로 돌아가면, 지금 군의 방어선에 숨어들어온 상태야...
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:아...... 역시, 한결같이 목숨 아까운 줄 모르시는구나.
AK12(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>99</BIN>:그래, 안타깝게도 이런들 안 죽는걸.+나쁜 소식이 하나 있는데, 현재 군의 탱크가 배치되고 있어.+거기에 대륙 간 열차도 이전부터 이 구역에 배치된 걸 보니, 이것도 군에서 조달한 것일 테지.+처음부터 이런 증원병력을 준비한 게 틀림없어.
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:중장갑 부대까지 동원하는 거야?+반란을 일으킨 로봇의 거점 하나에 이렇게까지 큰 수고를 들일 필요가 있는 걸까?
AK12(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>99</BIN>:즉, 철혈에는 군이 어떻게 해서든 손에 넣어야 할 물건이 있다는 거야.+어찌 됐든, 저 탱크들을 밀고 가게 되면, 아무도 군을 막을 수 없게 돼.
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:그래도 아직은 괜찮겠지? 중장갑 부대 배치에는 적어도 3시간은 걸릴 테니까.
AK12(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>99</BIN>:그래서 지금 한 통신중계소를 찍어놨어, 최대한 빨리 따내서 새로운 로그인 포트를 찾도록 해.+내가 저들의 행동을 더 역탐할 수 있게 말이지.
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:시간이 좀 필요해, 식별 신호의 위장 등급을 올려야 되니까.+그런데 안젤리아는 이제부터 뭘 할지 결정했어?
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>99</BIN><黑屏1>:걱정 마, 어떻게 해야 할지는 따로 알려줄 사람이 있으니까.+그저, 그쪽도 시간이 좀 필요할 뿐이야.
