()||<BIN>55</BIN><BGM>BGM_Frontline</BGM>:............같은 시각.
NPC-Seele(0)<Speaker>제레</Speaker><通讯框>||:45 씨! 그리폰에서 송출 중인 방송을 들어보세요! 제가 알려드리고 싶었던 일이 바로 이거예요!
NPC-Helian(0)<Speaker>헬리안</Speaker><通讯框>||:S11 구역에 있는 모든 그리폰 사원들에게 알립니다! 반복합니다, S11 구역에 있는 모든 그리폰 사원들에게 알립니다!+현재 S09 구역의 전황이 불리하고, 구역 내에서 혼란을 야기하는 중대한 사건이 발생했습니다!+현재... 저희는 구역 내의 인원들을 전부 후퇴시키고 있습니다! 그리고 S11 구역은 반드시 지나가야 하는 퇴각 루트입니다!+현재 대기 중인 모든 지휘관은, 지금 즉시 본인의 본부로 귀환해주시길 바랍니다!+ S11 구역의 모든 그리폰 사원들은, 지금 즉시 전투를 준비해주시길 바랍니다. 추격해오는 철혈 부대들을 격퇴하여, 최대한 많은 아군 부대를 보호해야 합니다!+S11 구역에 있는 모든 그리폰 사원들에게 알립니다! 반복합니다, S11 구역에 있는 모든 그리폰 사원들에게 알립니다!
()||:......
UMP45(0)<Speaker>UMP45</Speaker>||:오픈 채널로 송출하다니... 게다가 헬리안이 저렇게까지 다급하게 소리 지르는 걸 보면, 그리폰에 정말 큰 일이 생겼나 본데.+무슨 일이 일어났는지 궁금하기는 하지만... 근데 이게 우리랑 무슨 상관이야?
UMP45(0);NPC-Seele(0)<Speaker>제레</Speaker><通讯框>||:조금 전, 그러니까 45 씨께서 【우산】 바이러스에 공격당했을 때, 저희가 엄청 강력한 에너지 신호를 포착했어요. +게다가 이 신호는 구역의 구석구석까지 퍼져나갔어요. 그 말은...
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:...그 말은, 이번 【우산】이 나에게만 사용된 건 아니란 이야기겠지.
UMP45(0);NPC-Seele(0)<Speaker>제레</Speaker><通讯框>||:네. 45 씨는 무슨 일이 일어났는지 이미 알아차리셨을 거라고 생각되지만요.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:......
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:좋아, 마음이 바뀌었어. 그럼, 우리는 방어선을 만든 다음에 그리폰 부대들을 주워와야 하는 거네.+데레, 그리폰의 통신을 좀 해킹해주겠어?
UMP45(0);NPC-Deele(0)<Speaker>데레</Speaker><通讯框>||:라져! 해킹은 내가 가장 자신 있는 일이라고!+그리고 후퇴 중인 인형의 위치를 너한테 표시해줄게. 전부 다 특별히 공짜로 해주는 거니까!
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Deele(0)||:땡큐. 그래도 내 일은 공짜로 해줄 수 없어. 제레, 아직 거기에 있어?
UMP45(0);NPC-Seele(0)<Speaker>제레</Speaker><通讯框>||:네, 듣고 있어요.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:그 사람과 그리폰에게 전해. 우리가 구해주는 인형마다 몸값을 내고 찾아가라고 말이야. 한 푼이라도 적으면 안 돌려준다 그래.
UMP45(0);NPC-Seele(0)<Speaker>제레</Speaker>||:알겠어요. 지금 바로 연락할게요. 만족할만한 결과를 가져올 테니, 걱정하지 마세요.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:...그래, 넌 협상에서 날 실망시킨 적이 없었으니까.+이제 우리도 안전하고, 지휘 모듈도 아직 나에게 있으니, 조금 더 놀아도 문제가 생기지는 않겠지.
UMP45(0);NPC-Seele(0)<Speaker>제레</Speaker>||:다 됐어요. 잠시 후 그리폰 인형들의 퇴각 루트가 표시될 거예요. 반드시 철혈의 공격을 막아주셔야 해요.+그리폰의 인형들을 재편성하시면 저희가 강제로 지휘권자를 당신으로 변경할게요. 그러니 걱정 마시고 능력을 최대한 발휘해주세요!
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:내가 걱정하는 건 이후에 애들에게 어떻게 휴가를 챙겨줄 건지 뿐이야.+9, 지금 듣고 있어?
UMP45(0);UMP9(0)<Speaker>UMP9</Speaker>||:응! 우리는 이미 모든 준비를 끝내 놨어! 명령만 내려줘, 45 언니!
UMP45(0);G11(0)<Speaker>G11</Speaker>||:난 먼저 가서 고지를 찾아볼게. 416, 내가 필요하게 된다면, 날 깨워줘.
UMP45(0);HK416(0)<Speaker>HK416</Speaker>||:하아... 45, 난 네가 미친 게 아닌가 의심되는데 말이야.
UMP45(0)<Speaker>UMP45</Speaker>;HK416(0)||:가끔은 좋은 일도 해줘야지. 인간미를 남겨둬야, 죽을 때도 좀 편하지 않겠어?
UMP45(0);HK416(0)<Speaker>HK416</Speaker>||:난 도대체 네가 무슨 생각을 하는 건지 모르겠어. 【우산】 때문에 정신 착란을 일으키기라도 한 거야?
UMP45(0)<Speaker>UMP45</Speaker>;HK416(0)||:하고 싶지 않다면 가버리면 돼. 너도 이런 일을 그저 손 놓고 바라보고 있을 수만은 없을 텐데?
UMP45(0);HK416(0)<Speaker>HK416</Speaker>||:............+쳇, 어쨌든 공짜로 일하는 것만 아니면 됐어. 나도 내 한계가... 궁금하기도 하고 말이지.
UMP45(0)<Speaker>UMP45</Speaker>;HK416(0)||<黑屏1>:훌륭해. 모두, 출발 준비하도록 해.+그리폰의 꼬맹이들이 구출을 기다리고 있어. 우리가 반드시 구해야만 해.
UMP45()<Speaker>UMP45</Speaker>||<黑屏2><BIN>9</BIN><黑屏1>:그때랑 똑같아... 어딘지 모르게 익숙한 냄새가 나는데...+골칫거리들이 또다시 오려고 하고 있는걸...+올 테면 와보라고. 이번에야말로, 반드시 진상을 캐내고야 말겠어...
NPC-Seele(0)<Speaker>제레</Speaker><通讯框>||<黑屏2><BIN>9</BIN>:45 씨, 현재 낙오된 그리폰 인형들과 통신을 구축하는 데 성공했어요. 지금 저희는 방어선과 집결지를 이어서 인형을 후퇴시켜야 해요.+작전 평가는 직관적인 점수를 이용하며, 점수가 높으면 높을수록 그리폰으로 부터 받을 수 있는 보수 역시 더욱 좋아질 거예요.+방어선을 유지하면서 높은 점수를 얻으시고, 최대한 적의 공격을 막으시면 돼요.+인형이 후퇴하는 방향은 항상 달라지며, 일정 시간이 지나면 집결지의 위치도 바뀌게 되니 수시로 지도의 변화에 주의해주세요.+저희가 관측한 바에 의하면, 다른 구역에 있는 철혈의 보스급 적들도 전투에 참여할 거예요. 정면으로 돌파하실지의 여부는 45 씨의 결정에 맡길게요.+그리폰은 저희에게 최소한 15턴은 버티라고 했어요. 그러니 최대한 높은 점수를 목표로 하시길 부탁드려요. 행운이 있기를 빌어요!
()||<BIN>10</BIN><黑点1>:
