()||<BIN>22</BIN><BGM>BGM_Room</BGM>:그리폰 본부 공방......
NPC-Helian(0)<Speaker>헬리안</Speaker>||:크루거 님, 해석 결과가 나왔습니다.+AR-15가 남긴 정보와 이전에 404소대가 얻은 결과가 일치합니다. 
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:보아하니 철혈의 다음 계획은 정말로 그리폰을 철저하게 말소할 작정인 것 같군. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:그렇게 빨리 될까요? 그것들이 그렇게 많은 인형을 비축하고 있다고 보기엔 힘듭니다만...
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:인형은 필요없다네, 헬리안. '그녀'는 인형과는 차원이 다를 정도로 위험한 카드지. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:크루거 님......어떻게 이 많은 정보들을.+설마, 그 방에서 정말 "그녀"와 마주치신 겁니까? 
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:......+평원 위로 비가 내린다. 그리고 우산......그게 바로 관건이라네.+걱정 말게나, AR-15의 정보가 있으니, 【우산】의 정확한 위치를 찾아낼 수 있을거라네. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:AR-15......+이 때 까지도 우리에게 열심히 협조중이군요......
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:그녀는 그저 그녀에게 부여된 명령을 수행하고 있을 뿐이네, 헬리안. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:알고 있습니다. 하지만 지금의 전, 한순간 조금......
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:난 인형에 대해 편견이 없다네. 그녀들이 인류 대신 짊어진 책임에 매우 감사하고 있지.+또한 일부 지휘관들이 그녀들을 같은 사람으로 대하는 것도 이해할 수 있다네.+하지만 도구든 친구든 뭐든지 간에......+적의 손에 떨어지는 순간 판단을 내려야 하지.+손수 작별인사를 하든가, 그것이 다른 모든 이들을 구렁텅이에 끌고 들어가는 것을 두 눈 뜨고 지켜보든가. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:그럼......우리들의 결정은......
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:좀 더 시간을 주겠네, 헬리안. 이건 우리들이 내리는 결정이 아니야.+그 지휘관은 아직 시간이 좀 더 필요해. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:이것도......육성의 기회입니까? 
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||<黑屏1>:아니......
크루거()<Speaker>크루거</Speaker>||<黑屏2><BIN>9</BIN><黑屏1>:이번은, 시험할 기회라네.+헬리안, 인형 리스트를 정리해서 사용할 수 있는 것들은 전부 나한테 보고해주게나.+준비를 해두도록, 이제부턴 우리의 차례라네. 
