()||<BIN>34</BIN><黑屏2>10<黑屏2>:......
()||<BIN>34</BIN><BGM>BGM_Sneak</BGM>:......삑.+안젤리아가 통신시설의 설비를 이용해 외부와 통신을 하고 있다.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:......그렇습니까?+지금 그리폰이 S11 구역으로 이동하고 있단 말입니까? 저도 봤습니다. 여긴 지금 난장판입니다.+......네. 그런 것 같습니다. 군부는 이 전장의 질서 유지를 구실 삼아 당당하게 끼어들게 될 것입니다.+네. 저도 그게 군부의 핑계라는 걸 알고 있습니다. 군은 현재 그저 외곽에 다시 배치하고 있을 뿐이지만......+그들의 진짜 주력 부대가 전장에 전개되기 시작한다면 우리로서는 그들을 막아내지 못하게 됩니다.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:네. 최대한 속도를 늦추도록 하려는데, 지원이 없다면 길게 끌기는 힘들 것 같습니다.+음...... 지원 부대가 주변에서 명령을 기다리고 있기만 해선 아무런 문제도 해결할 수 없습니다...... 전 국장님이 그들이 뭘 하려고 하는지 알고 계실 것 같습니다......+알겠습니다, 국장님이 뭘 걱정하고 있는지 알고는 있습니다. 어떻게든 최대한 시간을 벌어보겠습니다.+다만 최악의 상황이 발생하는 경우 국장님께 전에 말씀드렸던 계획을 실행할 수 있게 허가를 내려주셨으면 합니다.+저도 이게 지나치다는 건 잘 알고 있습니다만......+네, 네, 허가를 기다리겠습니다. 그리고 최대한 현재 상황이 그렇게 바뀌지 않도록 노력하겠습니다.
()<Speaker></Speaker>||<BIN>34</BIN>:......통신 종료.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:이제, 전력을 다해야겠네.+그래...... 그 애들이 아직 살아있었으면 좋겠는데......
NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:............삑.+......암호화된 채널로 통신 중.
UMP45(0)<Speaker>UMP45</Speaker><通讯框>;NPC-Ange(0)||<BIN>34</BIN>:안녕, 나 보고 싶었어?
UMP45(0);NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:..................
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:네 생각이 날 때마다 좋은 일은 그다지 없었지.+【문서】는 어떻게 됐어?
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:후후후, 말 안 해도 알 텐데?
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:다 끝냈으면 빨리 돌아오기나 해.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:조금 귀찮은 일이 생겨서 말이지.+그거 알아? 우리, 우연히 그리폰의 총퇴각과 맞닥뜨리게 되어서 말이야, 잠깐 도와주고 있었다고.
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:제레한테 이미 보고 받았어. 정말이지, 우연한 일을 만들어 나가는 걸 좋아하는구나.+좋아, 그럼 내가 보수를 달라고 할 테니, 지금까지 구출한 인형들을 기록해 놓도록 해. 뭐, 이게 끝나고 그리폰이 여전히 존재하고 있다면 말이지만.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:그리폰이 돈을 지불할 수 없다면, 네 지갑에서 빼서 주면 되잖아.
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:일단 그것도 유일하게 지불 권한이 있는 나 본인이 임무가 끝날 때까지 살아있어야 줄 수 있겠지만.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:그래서, 내가 생각난 이유가 대체 뭐야?
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:새로운 단서.+내가 표시해둔 C 포인트까지 이동해서 현지 데이터베이스를 스캔할 방법을 생각해둬.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:흐응, 전술 맵은 확인한 거 맞지? 여기서 우릴 죽여서 빚을 떼먹을 셈이야?
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<黑屏1>6</黑屏1><BIN>34</BIN>:보수는 나비 사건 뒤에 있는 원흉과 관련된 자료들이야. 이 정도면 이해됐겠지?
<Speaker>UMP45</Speaker>()||<BIN>61</BIN><黑屏2>6</黑屏2><黑屏1>5</黑屏1>:.........
UMP45(0)<通讯框><Speaker>UMP45</Speaker>||<BIN>34</BIN><黑屏2>2</黑屏2>:............+벌써 그렇게나 깊게 파고들었다는 거네?
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:이런 건 내 전문이거든.+그리고, 저번에 무인기에서 획득한 【문서】는 제레한테 주도록 해.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:페르시카한테 바로 주는 게 아니고?
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<黑屏1><BIN>34</BIN>:페르시카한테도 전해줄꺼야, 다만 그녀는 해독자일 뿐이니까.+어찌 됐든...... 이 【문서】를 정말 필요로 하는 사람이 페르시카뿐만은 아니니까.
