()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<BIN>181</BIN><黑屏2><BGM>BGM_Room</BGM>:삐익.+통신 연결.
AR15Mod(0)<Speaker>AR15</Speaker><通讯框>||:<color=#00CCFF>그래도 그렇지, 갑자기 뛰쳐나갈 필요는... 아무튼, AN94를 따라잡은 뒤에 같이 추적할게.</color>+<color=#00CCFF>정말로 "노드"를 발견하면, 즉시 파괴하는 거 맞아?</color>+<color=#00CCFF>그게 대체 뭐길래?</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AR15Mod(0)||:뭔지 네가 알 필요는 없어. "노드"로 의심되는 물건을 발견하면, 내 명령에 따라 즉시 파괴해.
AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>...알았어.</color>+<color=#00CCFF>지금 이 채널은 위험하니까, AN94를 따라잡은 뒤에 다시 연락할게.</color>
AK12(0)<Speaker>AK12</Speaker>||:안젤리아, 이쪽 상황이 좀 심상치 않아.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>||:그래.+다음 통신을 기다리지, AR15.
()||:안젤리아는 AR15와의 통신을 종료한 뒤, AK12에게 고개를 돌렸다.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>||:무슨 일이지?
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:격리벽에서 상황 발생.+벽 바깥의 감염생물들 이외에도, 명령대로 주둔 중인 수비 부대도 감시하고 있었는데...+여태까지는 정해진 패턴에 따라 순찰 및 경계 작전을 진행하고 있었거든?+그런데 아까전부터 일부 유닛이 순찰 경로를 이탈해서 벽 꼭대기로 집합하고 있어.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:적의 침입인가?
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:아니, 외부 신호는 감지되지 않아.+방금 이탈한 유닛이 식별 신호를 변경하고 있어. 이 신호는... 하얀 세력이야.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:"잎사귀가 썩는 건 먼저 뿌리가 썩은 다음."+도시 내부뿐이 아니라 여기까지...
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:안젤리아, 이제 어떻게 할까?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>||<黑点1>:당장 M4와 함께 격리벽으로 이동, 정찰하면서 정보를 수집해.+현장 상황에 따라 다음 행동을 정하지.
()||<黑点2><BGM>BGM_Empty</BGM><BIN>169</BIN>:몇 분 후.+AK12와 M4A1이 격리벽 구역에 도착했다.
AK12(0)<Speaker>AK12</Speaker>||<BGM>BGM_Sneak</BGM>:안젤리아, 내부 분열이야.+격리벽 내부의 방위군이 둘로 나뉘어서 교전을 벌이고 있어.+현장 자료를 전송할게.
AK12(0);NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>그래, 알았어.</color>
AK12(0)<Speaker>AK12</Speaker>;NPC-AngeStreet(0)||:계속 여기서 관찰하면 될까?
AK12(0);NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>||:<color=#00CCFF>...아니.</color>+<color=#00CCFF>AK12, M4A1, 지금부터 격리벽 방위군을 도와 반란군을 섬멸해라.</color>
AK12(2)<Speaker>AK12</Speaker>;NPC-AngeStreet(0)||:정말 그렇게 할 거야? 아무리 반란군 진압이라지만, 외국 영토에서 무력을 행사하는 건...
AK12(2);NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>||:<color=#00CCFF>넌 또 언제부터 그렇게 우유부단해졌어?</color>
AK12(0)<Speaker>AK12</Speaker>;NPC-AngeStreet(0)||:화 내지 마... 난 그냥 안젤리아가 진심인지 확인한 거야.+그렇게 하면 일이 어떻게 될지, 잘 생각해.
AK12(0);NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>||:<color=#00CCFF>어떻게 되는지야 잘 알다마다.</color>
