AR15(0)<Speaker>AR15</Speaker>||:마지막 적, 사살 완료.
SOPII(0)<Speaker>SOPII</Speaker><Shake>0.1</Shake>||:꺄하하하핫! 다 내 거! 이거 다 내 거야!
AR15(0)<Speaker>AR15</Speaker><Shake>0.1</Shake>||:...당기지 마, 그거 내 다리야.
M4A1(0)<Speaker>M4A1</Speaker>||:모든 임무 목표의 사살을 확인. 임무 완료, 다음 지시를 기다립니다.
M16(5)<通讯框><Speaker>M16A1</Speaker>||:제법 괜찮았어, M4.
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:M16 언니!+...아뇨, 이제 겨우 첫 전투인걸요, 방심할 수 없어요.
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:하긴, 페르시카의 실험이니 정신 바짝 차리고 임해야지.
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:페르시카 씨가 무얼 하시려는 건진 모르지만, 분명 깊은 뜻이 있겠죠.+저희가 실망시키지 않길 바랄 뿐이에요...
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:AR-15랑 SOP2도 있잖아, 여유를 가져.
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:...그러고 보니, 왜 언니는 저희랑 같이 오지 않았어요?
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:난 따로 임무가 있거든.+그리고 나 없이 너만으로도 충분히 해결할 수 있을 거야.
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:하지만 좀... 이상한 기분이 들어요. 통신이 끊기면 언니가 영영 사라질 것만 같은...
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:하하하, SOP2가 또 무슨 이상한 괴담이라도 들려줬나 봐?
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:...아뇨, 그냥 제 괜한 걱정이겠죠. 임무에 집중하겠습니다.
M16(5)<通讯框><Speaker>M16A1</Speaker>||:열심히 해, 너무 긴장은 말고. 통신은 계속 유지할 테니 무슨 일 생기면 바로 연락해.
M4A1(0)<Speaker>M4A1</Speaker>||:알겠습니다.
