()||<BIN>1</BIN><Night><BGM>BGM_Danger</BGM>:작전 종료.
IWS2000(0)<Position>0,100</Position> <Speaker>IWS2000</Speaker>||<BIN>1</BIN><Night>:모두 무사한가요?
Glock17(0)<Speaker>글록17</Speaker>||<BIN>1</BIN><Night>:헉, 헉... 세이프...
SSG69(0)<Speaker>SSG69</Speaker>||<BIN>1</BIN><Night>:그 망할 마빡이 때문에 이제 독으로도 모자라 진흙 범벅이 되어버렸어요!
IWS2000(0)<Position>0,100</Position> <Speaker>IWS2000</Speaker>||<BIN>1</BIN><Night>:...AUG, 드리머가 제가 가장 먼저 도망치려 했다고 말한 건... 대체 어떻게 된 거죠?
IWS2000(0)<Position>0,100</Position> ;AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:그렇게까지 드리머의 말을 신경 쓰다니, 지금 가장 서둘러야 할 일이 무엇인지 잊으셨습니까?
IWS2000(0)<Position>0,100</Position> <Speaker>IWS2000</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:...+아직 늦지 않았다고 했었죠, 통신이 끊긴 현 상황에서, 대체 무엇을 할 수 있다는 거죠?
IWS2000(0)<Position>0,100</Position> ;AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:방금 전에 정지시킨 포탑을 재가동하여 그리폰의 헬리콥터를 조준하겠습니다. 
IWS2000(0)<Position>0,100</Position> <Speaker>IWS2000</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:대체 무슨 생각이죠, AUG?
AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:저 하늘 위에 있는 웰로드 소대에게 경고를 보내는 것은 이미 불가능합니다.+통 안의 물건이 지휘관님과 기지에 닿지 않게 하기 위해서는 물리적 격리 밖에 없습니다.
SSG69(0)<Speaker>SSG69</Speaker>||<BIN>1</BIN><Night>:그거 농담이죠?
Glock17(0)<Speaker>글록17</Speaker>||<BIN>1</BIN><Night>:AUG 씨 전혀 농담조가 아니야, 표정만 봐도 알 수 있어...+그리고 확실히 그게 가장 효과적인 방법이기도 하고...
AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:현 상황의 심각성을 충분히 이해했기를 빕니다. 명령을 내리시죠, 대장님.
IWS2000(0)<Position>0,100</Position> <Speaker>IWS2000</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:그렇다고 해서 다른 소대를 죽이라니... 그런 명령은 내릴 수 없어요!
IWS2000(0)<Position>0,100</Position> ;AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:웰로드 소대가 잠깐의 기억을 잃는 것과 더 심각한 결과를 초래하는 것 중 어느 쪽을 선택할 겁니까?
IWS2000(0)<Position>0,100</Position> <Speaker>IWS2000</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:그만 말하세요!+웰로드 씨는 저희를 믿고 뒤를 맡겼어요, 지금 반드시 가져가야 할 물증도 있어요.+분명 다른 방법이 있을 거예요!
IWS2000(0)<Position>0,100</Position> ;AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:눈앞의 상황을 직시하시죠, 더 이상 선택의 여지가 없습니다.+지금 여기 있는 것이 웰로드 소대였다면, 분명 같은 선택을 했을 겁니다.
IWS2000(0)<Position>0,100</Position> <Speaker>IWS2000</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:전 웰로드 씨가 아니에요, 그분이 어떻게 할지는 전 몰라요...
IWS2000(0)<Position>0,100</Position> ;AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:당신이 항상 임무 수행에 실패하는 원인에 대해 잘 알고 있었군요.
Glock17(0)<Speaker>글록17</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:경고만 보낼 수 있으면 되죠?+정말 [우산] 바이러스의 재밍을 뚫을 방법이 없나요?
Glock17(0);AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:현재 바이러스를 퍼뜨리고 있는 통신소가 어느 건지 알아낼 시간이 없습니다.
SSG69(0)<Speaker>SSG69</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:통신 말고도 신호를 보낼 방법이 있지 않나요? 눈에 띄는 불꽃이나 신호탄은 어때요?
AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:그렇게 신호를 보내봤자 무인기에서 발견할 때에는 비극이 일어난 후입니다.
IWS2000(0)<Position>0,100</Position> <Speaker>IWS2000</Speaker>||<BIN>1</BIN><Night>:통신소...+눈에 띄는... 방법...
