()||<BIN>85</BIN><BGM>BGM_Room</BGM>:...삑.
()||<BIN>85</BIN>:...암호화된 개인 통신 요청이 들어왔다.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:어? 하필 이럴 때에...+좋은 밤이야, 페르시카.
NPC-Persica(1)<Speaker>페르시카</Speaker><通讯框>;NPC-Ange(0)||<BIN>85</BIN>:뭐, 벌써 밤이라니?
NPC-Persica(2)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:M4 상황은 어때? 마인드맵 업그레이드는 순조로워?
NPC-Persica(2);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:아직까진 괜찮아, 걱정할 거 없어.+업그레이드 자료를 제공해준 것에 대해 그 애를 대신해서 감사를 표하지.
NPC-Persica(2)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:한 번 볼 수 있을까? 잠시만, 한 번만이라도 좋으니까.
NPC-Persica(2);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:미안, 지금 다음 임무를 위해 준비 중이야.
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:또 그녀에게 임무를 내린 거야?
NPC-Persica(3);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:내 소중한 리벨리온 소대를 걔한테 전부 맡겼다고.
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:엘더브레인에게 잡혀갈 거란 걱정은 안 해?
NPC-Persica(3);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:그러는 편이 더 낫지 않아? 엘더브레인이 나타난다면 내게 있어선 더할 나위 없는 찬스니까.+그나저나, 왜 엘더브레인이 그렇게 M4A1을 데려가려고 하는지 알고 있어?+지금 보면 철혈의 존망보다도 중요시하는 것 같던데.
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:나도 그걸 조사하고 있는 중이야, 어느 정도 짐작 가는 것도 있고...
NPC-Persica(3);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:예를 들면?
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:리코.+아직 기억하고 있지?
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:알아, 엘더브레인의 개발자, 이번 일의 원흉이라고도 할 수 있잖아... 최소한 표면상으로는 말이지.+그 죽은 사람이 M4A1이랑 무슨 관계가 있는데?
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:너도 나와 리코 사이의 관계를 알고 있겠지.+내가 M4의 원생체의 뇌 스캔 모형을 뜰 때, 리코가 나한테 사본을 달라고 했어, 그때 리코도 자신만의 AI 구조를 개발하고 있었거든.
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:그러니까... M4의 마인드맵 모델을 건네줬다는 뜻이야?
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:그건 M4의 마인드맵 모델이라고 할 순 없었어. 과학적이지 못한 말로 표현하자면, "영혼"이라고 말할 수는 있겠지...
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:뭐...?+하지만… 그렇다 해도 둘 사이의 직접적인 관계를 증명할 수 없잖아?+굳이 왜 그렇게 엘더브레인에게 관심이 많은 지도 설명할 수 없고.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:확실히 말이 안 돼... 어느 정도 생각이 있지만...... 아직 입증에 필요한 단서가 더 필요해.
NPC-Persica(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:페르시카, 너 일부러 그런 식으로 물어보는 거지?
NPC-Persica(2)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:저번에 너한테 부탁한 물건, 아직 기억하고 있으니까.
NPC-Persica(2);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:5분 뒤 제레가 보내줄 거야.+다만, 이거 얻는데 상상도 못 할 만큼 힘들었거든, 너 나한테 신세를 톡톡히 진 거라고.
NPC-Persica(2)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:우선 안의 내용을 보고 판단할게, 먼저 봤어?
NPC-Persica(2);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:그럴 시간 없었어, 어차피 네가 알려줄 테니까.+그리고 좋은 소식이 하나 있어, 군사령부 서버의 암호화 데이터를 찾았어.
NPC-Persica(1)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:뭐? 그렇게 쉽게?
NPC-Persica(1);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:아마 군의 사람이 깜빡한 거겠지.+안의 내용이 궁금해? 나도 살짝 보기만 했지만.
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:뭐가 있었는지 알려줄 수 있어?
NPC-Persica(3);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:오가스의 참여자 명단이야, 이따가 보내줄게.+어차피 지금 난리 난 것도 다 오가스 시스템과 관계있을 테니, 군도 정말이지 얌전히 있어주질 않는군…
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:짐작은 가, 뭐라 해도 오가스 프로젝트는 전 세기 국가 규모의 시스템 건설 계획이었으니까.+하지만 군이 이런 국가 관리 레벨의 시스템에 그토록 집착하는 건 너무 이상해.
NPC-Persica(3);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:누가 알겠어?+또 한 명, 페르시카 네가 아는 사람도 명단에 있어, 이 정보엔 이미 가격을 매겼으니까.
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:누군데?
NPC-Persica(3);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:너네 사장, 비트킨·하벨, 32년 전 오가스와 유적에 관련된 군사 작전에 참여했어, 카터와 함께 말이지.+기술 인원으로 참여했다는 것은, 그 두 가지에 모두 익숙하다는 뜻이지.
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:......+하벨 씨… 역시 관련이 있었구나...
NPC-Persica(3);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>85</BIN>:무슨 말을 해줘야 할지는 모르겠지만, 그래도 쓸만한 소식이겠지?
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Ange(0)||<BIN>85</BIN><黑屏1>:응...+아주 쓸모 있어...+중요한 건... 난 이제 어쩌면 좋을까?
