()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>55</BIN><BGM>BGM_Brain</BGM><黑屏2>:......
AN94(0)<Speaker>AN94</Speaker>||:여기는 AN94. 안젤리아, 응답 바람.+예비 플랜 B에 따라 철수를 완료했다. 관련 자재의 위치는 공용 데이터베이스에 업로드했다.+지금부터 그쪽과 합류하면 되나? 다음 지시를 대기 중.
AN94(0);NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>알았다. 임무 완료. 즉시 해당 구역을 이탈하도록.</color>
AN94(0)<Speaker>AN94</Speaker>;NPC-AngeStreet(0)||:즉시 실시하겠다.
AN94(0);NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>||:<color=#00CCFF>이탈 후...</color>+<color=#00CCFF>자유 활동해.</color>
AN94(0)<Speaker>AN94</Speaker>;NPC-AngeStreet(0)||:...잘 못 들었다?
AN94(0);NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>||:<color=#00CCFF>이번 임무는 이걸로 끝이야.</color>+<color=#00CCFF>하루 정도 시간이 비니까, 자유 활동할 수 있어.</color>+<color=#00CCFF>휴가라 생각하고 푹 쉬어.</color>
AN94(0)<Speaker>AN94</Speaker>;NPC-AngeStreet(0)||:하지만...
AN94(0);AK12(0)<Speaker>AK12</Speaker><通讯框>||:<color=#00CCFF>가끔은 휴가를 즐기는 것도 괜찮겠지.</color>
AN94(0)<Speaker>AN94</Speaker>;AK12(0)||<黑屏1><BGM>BGM_Empty</BGM>:...응.
()<Speaker></Speaker>||<BIN>85</BIN><黑屏2><BGM>BGM_Room</BGM>:어느 세이프 하우스.
AK12(0)<Speaker>AK12</Speaker>||:AN94.
AN94(0)<Speaker>AN94</Speaker>;AK12(0)||:듣고 있다.
AN94(0);AK12(0)<Speaker>AK12</Speaker>||:아까 안젤리아가 내린 명령이 뭐였지?
AN94(0)<Speaker>AN94</Speaker>;AK12(0)||:이번 임무 완수 후, 약 24시간 동안 자유 활동이다.
AN94(0);AK12(0)<Speaker>AK12</Speaker>||:그래서 내 꽁무니를 졸졸 따라오는 게 네 자유 활동이야?
AN94(0)<Speaker>AN94</Speaker>;AK12(0)||:불편한가, AK12?+미안하다.
AN94(0);AK12(0)<Speaker>AK12</Speaker>||:아니, 딱히 불편하진 않아.+내 말은, 인형은 저마다 사명을 가지고 태어나잖아?
AN94(0)<Speaker>AN94</Speaker>;AK12(0)||:그렇다. 난 널 보조하기 위해 만들어졌다.
AN94(0);AK12(0)<Speaker>AK12</Speaker>||:내 말을 자연스럽게 끊다니... 많이 영리해졌구나, AN94.
AN94(0)<Speaker>AN94</Speaker>;AK12(0)||:그리폰의 지휘관에게서 배운 대화법이다. 하지만 칭찬받을 일은 아니군.
AN94(0);AK12(0)<Speaker>AK12</Speaker>||:됐어, 난 상관없으니까.
AN94(0)<Speaker>AN94</Speaker>;AK12(0)||:AK12... 내가 잘못한 건가?
